"Season","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO"
"2019","2429","2429","4.51","21429","4858","45","26","1180","2438","687","43423.1","186516","42039","23467","21738","6776","15895","753","1984","1788","153","42823"
"2020","898","898","4.45","7959","1796","29","12","422","862","248","15468.2","66506","14439","8344","7654","2304","6092","202","821","675","63","15586"
"2021","2429","2429","4.27","21541","4858","50","29","1191","2394","749","42615.0","181817","39484","22010","20199","5944","15794","703","2112","1862","155","42145"
