playerid,Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,wRC+,BsR,Fld,Off,Def,WAR,ADP
20123,Juan Soto,WSN,156,672,524.0180995475113,163.18552036199094,29.39366515837104,2.0271493212669682,36.48868778280543,112.50678733031674,110.47963800904978,136.83257918552036,97.30316742081449,5.067873303167421,11.149321266968325,5.067873303167421,0.31,0.45299999999999996,0.586,1.04,0.431,170,-0.8108597285067873,-0.7095022624434388,58.78733031674208,-8.919457013574661,7.196380090497738,4.2
19709,Fernando Tatis Jr.,SDP,151,651,564.4564254062038,158.6632200886263,30.77104874446086,1.9231905465288037,44.23338257016248,110.58345642540621,108.6602658788774,72.11964549483014,160.5864106351551,6.731166912850813,25.001477104874446,9.615952732644017,0.281,0.366,0.575,0.941,0.392,150,2.307828655834564,-3.3655834564254064,43.46410635155096,0.48079763663220093,6.538847858197932,1.8
10155,Mike Trout,LAA,147,637,511.17283950617286,138.60648148148147,24.575617283950617,2.949074074074074,36.37191358024691,100.26851851851852,101.25154320987654,108.13271604938272,146.47067901234567,10.81327160493827,6.881172839506172,1.9660493827160492,0.271,0.406,0.547,0.953,0.39899999999999997,155,0.4915123456790123,0.3932098765432099,43.6462962962963,-4.915123456790123,5.9964506172839505,13.8
19611,Vladimir Guerrero Jr.,TOR,154,665,574.7789634146342,177.40091463414635,31.42530487804878,2.027439024390244,46.63109756097561,111.50914634146342,124.6875,78.05640243902438,103.39939024390245,6.0823170731707314,3.0411585365853657,2.027439024390244,0.309,0.39399999999999996,0.61,1.004,0.418,165,-1.5205792682926829,-0.1013719512195122,51.395579268292686,-12.772865853658537,6.183689024390244,5.8
18401,Ronald Acuña Jr.,ATL,131,567,472.8139534883721,134.68604651162792,25.430232558139537,1.8837209302325582,34.848837209302324,100.77906976744185,81.0,76.2906976744186,129.97674418604652,9.418604651162791,25.430232558139537,8.476744186046512,0.285,0.391,0.568,0.9590000000000001,0.40299999999999997,151,2.448837209302326,-0.37674418604651166,38.99302325581395,-2.5430232558139534,5.556976744186047,10.7
13510,José Ramírez,CLE,154,665,571.7194570135747,152.45852187028657,35.10558069381599,4.012066365007541,34.1025641025641,97.29260935143289,101.30467571644041,80.24132730015083,98.29562594268477,7.021116138763198,23.069381598793363,7.021116138763198,0.266,0.36,0.521,0.8809999999999999,0.37,136,2.1063348416289593,1.103318250377074,31.59502262443439,3.2096530920060333,5.717194570135747,3.7
15640,Aaron Judge,NYY,152,658,562.021052631579,153.36842105263156,25.726315789473684,0.9894736842105264,39.57894736842105,101.91578947368421,105.8736842105263,83.11578947368422,170.18947368421053,4.947368421052631,4.947368421052631,1.9789473684210528,0.273,0.37,0.535,0.905,0.38299999999999995,145,-0.1978947368421053,4.551578947368421,36.51157894736842,-2.869473684210526,5.640000000000001,36.6
13611,Mookie Betts,LAD,156,672,571.9768786127167,155.3757225433526,33.98843930635838,2.913294797687861,29.13294797687861,108.76300578034682,82.54335260115606,82.54335260115606,104.87861271676302,7.76878612716763,16.508670520231213,4.855491329479769,0.272,0.369,0.494,0.863,0.369,133,2.039306358381503,7.186127167630057,30.589595375722542,0.7768786127167631,5.341040462427745,15.4
17678,Alex Bregman,HOU,146,630,527.1228615863141,142.06842923794713,32.33281493001555,0.9797822706065319,26.45412130637636,89.1601866251944,90.13996889580093,88.18040435458788,82.30171073094868,7.838258164852255,1.9595645412130638,0.9797822706065319,0.27,0.38,0.486,0.866,0.371,139,-0.9797822706065319,-2.743390357698289,29.39346811819596,-0.29393468118195953,5.094867807153966,85.1
14162,Carlos Correa,,147,637,552.8872785829308,153.8647342995169,31.798711755233494,1.0257648953301126,28.721417069243156,86.16425120772946,90.26731078904992,71.80354267310788,118.98872785829307,6.154589371980676,1.0257648953301126,0.0,0.278,0.364,0.496,0.86,0.36700000000000005,132,0.10257648953301128,-1.538647342995169,25.438969404186796,5.949436392914653,5.333977455716586,100.7
23667,Wander Franco,TBR,149,644,582.6666666666666,168.17204301075267,32.645161290322584,8.903225806451614,18.795698924731184,84.08602150537634,83.09677419354838,48.473118279569896,78.15053763440861,5.935483870967742,9.89247311827957,4.946236559139785,0.289,0.34700000000000003,0.473,0.82,0.35,128,0.0,-1.3849462365591398,22.356989247311827,6.034408602150537,5.0451612903225795,54.1
16252,Trea Turner,LAD,154,665,598.59765051395,173.81791483113068,33.201174743024964,2.929515418502203,24.412628487518354,100.58002936857564,85.93245227606461,51.75477239353891,115.22760646108662,5.859030837004406,26.365638766519826,6.83553597650514,0.29,0.35,0.479,0.8290000000000001,0.354,124,3.41776798825257,-3.71071953010279,23.436123348017624,3.613069016152717,4.882525697503671,1.6
19612,Bo Bichette,TOR,152,658,600.868263473054,174.35029940119762,36.446107784431135,1.970059880239521,29.550898203592816,97.51796407185628,95.54790419161677,43.34131736526947,122.1437125748503,5.910179640718563,16.74550898203593,6.895209580838323,0.29100000000000004,0.342,0.503,0.845,0.359,125,0.5910179640718562,-2.167065868263473,20.685628742514968,5.22065868263473,4.826646706586827,5.4
20043,Luis Robert,CHW,149,644,586.2830188679245,167.0754716981132,33.41509433962264,2.0251572327044025,30.37735849056604,91.13207547169812,92.14465408805032,41.515723270440255,142.77358490566039,8.10062893081761,15.18867924528302,6.0754716981132075,0.285,0.33899999999999997,0.506,0.846,0.358,129,0.30377358490566037,0.8100628930817612,23.28930817610063,3.341509433962264,4.860377358490566,17.3
13624,Corey Seager,TEX,136,588,515.9798657718121,149.95973154362417,31.57046979865772,2.959731543624161,24.664429530201343,83.85906040268456,80.8993288590604,59.194630872483216,96.68456375838927,5.919463087248322,2.959731543624161,0.9865771812080537,0.29,0.36700000000000005,0.505,0.873,0.371,138,0.0,-6.0181208053691275,27.525503355704696,-0.5919463087248321,4.735570469798657,77.5
17350,Rafael Devers,BOS,154,665,593.1635802469135,165.22376543209876,36.94444444444444,2.052469135802469,36.94444444444444,97.49228395061729,107.75462962962963,57.46913580246913,136.4891975308642,6.157407407407407,6.157407407407407,3.0787037037037037,0.278,0.34600000000000003,0.534,0.8809999999999999,0.369,131,0.8209876543209876,-2.66820987654321,26.16898148148148,-0.8209876543209876,4.823302469135803,15.6
