playerid,1B,2B,3B,AB,AVG,BB,CS,G,GDP,H,HBP,HR,IBB,Name,PA,R,RBI,SB,SF,SH,SO,Team
19709,88.75311709334179,32.30665796298585,3.4014883744831135,594.8049584741176,189.57183070760618,68.2633884935351,6.121421076384737,151.0,9.255742855971924,167.29659816768273,6.563236493595951,42.83533473687197,4.602049366101149,Fernando Tatis Jr.,651.0,114.16414319654122,107.43849437842778,25.795923151356845,4.497158101269755,0.25391501005944567,179.0834691502308,SDP
20123,101.12301343765711,29.360717622376928,2.8531213742423245,560.4234273432813,213.3206438722169,127.06712788893445,4.922714315936978,156.0,16.78694268596924,166.146442426007,3.5727901231135553,32.80958999173064,16.988033829213595,Juan Soto,672.0,114.6841527331932,105.57892355648953,11.584188895851312,4.862233599188083,0.2201674362410693,120.04363515416179,WSN
10155,78.1095121387763,28.40652288586747,3.197627451574546,522.2287017587387,184.62125624719496,96.30285172696672,2.0470302451996383,147.0,5.595605389554097,148.24341766698856,11.379754953569703,38.52975519077026,11.831307194675375,Mike Trout,637.0,102.71384066596158,98.7128765307819,8.431666670780796,4.803297141318452,0.3093954507773594,143.7992929036673,LAA
13510,80.33738282186647,35.603843276984925,4.037536088129298,582.4990289761469,178.17291714136525,70.72212031352016,4.652706774069575,154.0,11.303449098918595,153.95578190347427,6.355361418927627,33.977019716493565,6.008510533716307,Jose Ramirez,665.0,103.14671313412265,103.37669912434254,24.842249099499714,5.161430531556574,0.2165624911346568,104.44094196406762,CLE
15640,92.4435002266017,25.439922720375183,0.8127347161848878,570.3060540341527,176.1077949251866,75.99160008809736,2.1430805384132228,152.0,16.539863722826706,156.36036386736035,4.908887953271348,37.66420620419855,2.815552135117013,Aaron Judge,658.0,97.11220881989618,94.38978755102362,5.78299458066033,3.7796127585356327,0.24345672540883143,171.92028211841193,NYY
19611,105.32198359986837,31.363330683046048,2.260185346145796,608.6885669077516,192.12089033222284,72.18215367571267,1.2556404800592937,154.0,18.873897984067213,173.63893538938635,5.557117213703963,34.69343576032616,4.154895108633415,Vladimir Guerrero Jr.,665.0,101.10005601532627,99.22837642645393,3.7602130776024034,2.247528253681776,0.21869059939012664,119.42967366361235,TOR
13611,91.89156313821246,33.72913693634484,3.681511071798993,578.026667195821,185.17160748723768,79.45295096394858,4.491096917457667,156.0,8.419784874720442,158.63092224753686,8.205489143559335,29.328711101180563,3.473040948300694,Mookie Betts,672.0,115.1288131538193,79.05393527794847,14.61011168904969,6.051201985981828,0.2179111174489743,110.42769840475498,LAD
18401,74.19707638691233,25.30629906614647,1.533745102985154,497.565078253484,155.7442979191164,71.7904618763641,6.487561849045429,131.0,5.725085780619325,134.46851851591953,10.017227729385288,33.43139795987558,3.3792975988044507,Ronald Acuna Jr.,567.0,105.47764559850074,80.69950454309998,23.870460362543426,3.4828305834613342,0.22434005364394588,147.43319456403668,ATL
16252,119.25262821345972,36.523098771920836,4.694211405387415,606.2077487063298,206.42381534922626,49.02282571330527,5.667267108255479,154.0,15.051975403960181,187.05667092237505,5.665321048893042,26.586732531607108,1.8955473257710727,Trea Turner,665.0,107.27955104249396,80.06289993742274,30.438069591061893,3.8475624135773407,0.21200359859857257,121.15492743227139,LAD
17678,86.26543996298702,31.419740752893535,1.5483650106630513,537.7966504706781,166.96540853088484,82.50599365488603,0.8601828184499587,146.0,12.946212782890399,145.55571900121572,7.312148804834521,26.322173274672135,3.644632524418978,Alex Bregman,630.0,91.22276430032836,89.15197689214938,3.7369962453514445,5.872421566711401,0.2419547353065005,94.36164470866558,HOU
14162,94.14407386705803,31.67549352770607,1.3037300582366937,566.3042617643528,173.48508254073954,67.15597711823776,0.529355701267193,147.0,14.690249366147063,153.41438022201555,5.377240479736131,26.291082769014796,2.316287011100194,Carlos Correa,637.0,91.23949273834887,90.87094188162632,1.8904061762487392,5.520967918438362,0.23597764205058147,131.55335092463113,
23667,103.77743463434084,35.21246683492552,7.299383265693156,609.351780040953,182.7238028613139,55.86080381093273,2.4951508742991795,149.0,7.970273115299334,165.2008340020505,5.938435856918032,18.91154926709098,1.0951942584216419,Wander Franco,644.0,102.26326911884308,83.40231475800715,6.236582906659442,3.0793726531263266,0.5632730925004563,113.01907021045626,TBR
11579,81.03800793275244,37.89301284122264,1.9212991656265066,557.5485737931176,186.37710184287099,102.40462937477696,3.4572835613012978,156.0,12.324279193089726,155.6559877635624,6.062506504140282,34.803667823960836,12.98432655776867,Bryce Harper,672.0,103.6508785313473,96.61415429958328,14.648539231145689,4.423039546230268,1.5165178329292182,153.6217443744398,PHI
18345,88.60333004493276,38.40137698637112,5.51266775260422,585.6870794869311,177.4187037551811,57.58315217870055,2.4168369439657944,147.0,10.53131463562342,162.8105354680226,2.793201800657744,30.293160684114525,5.109937661741676,Kyle Tucker,637.0,93.76463094650761,101.65178383376781,16.717069805797117,4.611574052022653,0.28890807612683095,122.27507160473671,HOU
19612,117.51324734953555,34.244124930334365,1.5937004080134882,625.236701457806,197.31906815626076,43.10780008793917,3.0543636473465496,152.0,10.094518057079119,181.37908062843144,5.506642621050421,28.028007940548044,0.987300152317726,Bo Bichette,658.0,107.91089519864289,94.51840138838206,19.675174177968508,3.5653942048012737,0.26730514970719266,142.2381430815496,TOR
14344,79.16112674480898,29.97283448593572,0.803789017716253,575.5994587474709,164.11710593561554,77.80830826810296,0.943045478614202,154.0,13.811545573342892,147.24859525874666,9.226661838437524,37.3108450102857,8.699500630888178,Matt Olson,665.0,91.80852030971002,106.09214699953243,3.6604726991020193,6.097956663477011,0.21288978898191566,145.3078235789748,OAK
