"Name","Team","GS","G","IP","W","L","QS","SV","HLD","H","ER","HR","SO","BB","WHIP","K/9","BB/9","ERA","FIP","-1","WAR","RA9-WAR","-1","ADP","playerid"
"Mike Clevinger","SDP","24","24","138.0","9","7","12","0","0","122","58","19","152","47","1.22","9.90","3.06","3.77","3.83","","2.4","2.3","","187.6","12808"
"Hyun Jin Ryu","TOR","31","31","177.0","12","9","15","0","0","180","81","25","154","43","1.26","7.81","2.20","4.10","4.13","","2.4","3.1","","203.8","14444"
"Tarik Skubal","DET","29","29","158.0","10","10","12","0","0","145","73","24","170","53","1.25","9.70","3.01","4.13","4.15","","2.3","2.6","","196.2","22267"
"Zac Gallen","ARI","31","31","178.0","10","11","14","0","0","170","86","25","188","67","1.33","9.50","3.38","4.33","4.16","","2.3","2.3","","135.9","19291"
"Marcus Stroman","CHC","32","32","188.0","10","12","15","0","0","201","92","24","147","57","1.37","7.02","2.73","4.40","4.31","","2.3","2.1","","184.3","13431"
"Noah Syndergaard","LAA","28","28","163.0","9","10","13","0","0","170","82","25","133","44","1.31","7.34","2.42","4.55","4.46","","2.2","1.7","","209.2","11762"
"Tyler Mahle","CIN","31","31","176.0","10","11","13","0","0","170","90","31","187","64","1.33","9.57","3.26","4.59","4.57","","2.2","2.1","","131.1","16358"
"Alex Wood","SFG","29","29","164.0","10","10","14","0","0","158","71","20","158","51","1.27","8.66","2.79","3.88","3.92","","2.2","2.5","","222.7","13781"
"Mike Minor","KCR","29","29","176.0","10","11","15","0","0","174","85","26","157","53","1.29","8.06","2.69","4.34","4.36","","2.2","2.7","","484.0","10021"
"Patrick Sandoval","LAA","26","26","147.0","10","8","13","0","0","136","64","19","150","60","1.33","9.14","3.64","3.92","4.14","","2.2","2.5","","208.6","19447"
"Sonny Gray","CIN","29","29","163.0","10","10","12","0","0","159","82","24","168","65","1.37","9.27","3.57","4.50","4.39","","2.2","2.0","","181.3","12768"
"Luis Garcia","HOU","29","29","168.0","10","10","14","0","0","156","80","26","175","63","1.30","9.37","3.37","4.30","4.32","","2.2","2.1","","151.6","23735"
"Brady Singer","KCR","28","28","150.0","9","10","12","0","0","149","70","17","135","55","1.36","8.09","3.31","4.21","4.14","","2.1","2.5","","440.2","25377"
"Jack Flaherty","STL","31","31","177.0","11","10","15","0","0","159","79","26","185","60","1.24","9.38","3.04","4.00","4.18","","2.1","2.5","","76.2","17479"
"Ranger Suárez","PHI","29","29","165.0","10","10","14","0","0","160","75","22","150","61","1.35","8.18","3.34","4.08","4.30","","2.1","2.4","","176.7","17277"
"Trevor Bauer","LAD","21","21","126.0","8","6","11","0","0","111","56","20","149","42","1.21","10.62","2.97","4.03","3.99","","2.1","1.8","","269.3","12703"
"Alek Manoah","TOR","26","26","147.0","10","8","12","0","0","131","67","22","163","52","1.25","10.01","3.21","4.12","4.15","","2.1","2.6","","96.5","26410"
"Jon Gray","TEX","31","31","178.0","10","11","14","0","0","173","84","26","176","61","1.31","8.88","3.09","4.27","4.23","","2.1","2.3","","242.0","14916"
"Alex Cobb","SFG","28","28","151.0","9","9","13","0","0","151","67","17","135","49","1.32","8.03","2.92","3.98","3.91","","2.1","2.0","","255.1","6562"
"Luis Severino","NYY","24","42","156.0","10","8","11","0","1","148","71","23","155","48","1.26","8.98","2.77","4.08","4.13","","2.1","2.3","","178.1","15890"
"Shane Baz","TBR","21","21","118.0","8","7","11","0","0","100","49","16","134","40","1.19","10.19","3.03","3.71","3.81","","2.1","2.1","","140.4","22264"
"Patrick Corbin","WSN","29","29","174.0","10","11","14","0","0","180","87","27","158","58","1.36","8.13","3.01","4.49","4.44","","2.0","1.9","","418.3","9323"
"Stephen Strasburg","WSN","26","26","153.0","9","9","12","0","0","153","77","23","145","52","1.34","8.50","3.06","4.50","4.39","","2.0","1.7","","291.2","10131"
"Nick Pivetta","BOS","29","29","165.0","10","10","12","0","0","159","85","26","172","66","1.36","9.40","3.60","4.61","4.44","","2.0","2.1","","376.3","15454"
"Ian Anderson","ATL","29","29","166.0","10","10","13","0","0","159","81","23","164","72","1.39","8.93","3.91","4.39","4.35","","1.9","2.0","","151.2","19951"
"Bailey Ober","MIN","26","26","145.0","9","9","11","0","0","145","73","25","144","40","1.27","8.95","2.46","4.50","4.36","","1.9","1.8","","268.7","21224"
"Carlos Carrasco","NYM","26","26","144.0","9","9","12","0","0","137","66","22","145","46","1.26","9.03","2.85","4.09","4.16","","1.9","1.5","","298.0","6632"
"Yusei Kikuchi","SEA","28","28","152.0","9","9","12","0","0","148","71","21","142","54","1.33","8.44","3.23","4.20","4.26","","1.9","2.1","","350.9","20633"
"Steven Matz","STL","29","29","161.0","10","10","13","0","0","156","75","23","145","50","1.28","8.08","2.82","4.17","4.33","","1.9","1.8","","249.6","13361"
"Dane Dunning","TEX","28","28","151.0","9","10","12","0","0","151","71","19","136","54","1.36","8.09","3.20","4.25","4.26","","1.8","1.9","","427.8","19409"
"Logan Gilbert","SEA","26","26","141.0","8","9","11","0","0","130","65","23","146","40","1.20","9.31","2.53","4.16","4.21","","1.8","2.0","","164.0","22250"
"Joe Ryan","MIN","24","24","142.0","9","8","11","0","0","135","69","24","148","41","1.24","9.39","2.60","4.35","4.27","","1.8","2.0","","223.0","21390"
"Tanner Houck","BOS","18","49","128.0","8","7","7","0","1","118","57","15","138","47","1.29","9.73","3.32","4.03","3.85","","1.8","2.1","","202.7","19879"
"Brad Keller","KCR","28","28","159.0","9","10","12","0","0","164","79","18","130","66","1.44","7.35","3.72","4.46","4.40","","1.8","2.2","","553.3","15734"
"Kyle Gibson","PHI","32","32","187.0","10","12","14","0","0","194","95","28","160","71","1.42","7.68","3.44","4.57","4.66","","1.7","1.7","","376.4","10123"
"José Quintana","PIT","28","28","156.0","9","10","12","0","0","154","75","22","142","61","1.38","8.22","3.53","4.35","4.43","","1.7","1.7","","550.6","11423"
"Casey Mize","DET","31","31","171.0","9","12","12","0","0","178","87","25","141","53","1.35","7.42","2.77","4.57","4.54","","1.7","1.9","","276.3","20492"
"Jameson Taillon","NYY","28","28","152.0","9","9","10","0","0","153","79","27","143","45","1.30","8.46","2.69","4.68","4.65","","1.7","1.4","","308.0","11674"
"Adam Wainwright","STL","31","31","194.0","11","11","17","0","0","201","94","28","153","57","1.33","7.09","2.66","4.38","4.49","","1.7","1.8","","203.1","2233"
"Drew Rasmussen","TBR","24","41","148.0","9","9","11","0","1","135","64","18","152","59","1.31","9.22","3.56","3.91","4.01","","1.7","2.1","","280.6","25385"
"Anthony DeSclafani","SFG","31","31","175.0","10","12","13","0","0","180","87","26","149","52","1.32","7.64","2.66","4.49","4.39","","1.6","1.4","","214.8","13050"
"Chris Flexen","SEA","29","29","171.0","9","11","14","0","0","175","84","27","142","48","1.31","7.49","2.54","4.41","4.51","","1.6","1.7","","380.9","13896"
"Marco Gonzales","SEA","31","31","184.0","9","12","14","0","0","192","94","32","146","51","1.32","7.12","2.48","4.59","4.80","","1.6","1.5","","313.7","15467"
"Zack Greinke","","28","28","160.0","9","10","12","0","0","173","81","26","124","38","1.32","7.00","2.12","4.60","4.57","","1.5","1.5","","312.1","1943"
"Huascar Ynoa","ATL","23","23","124.0","8","8","9","0","0","119","59","17","126","45","1.33","9.16","3.31","4.30","4.16","","1.5","1.6","","238.9","20468"
"Liam Hendriks","CHW","0","68","68.0","4","3","0","29","2","49","22","8","99","17","0.96","13.14","2.22","2.86","2.69","","1.5","1.4","","32.8","3548"
"Kyle Freeland","COL","29","29","163.0","8","12","9","0","0","193","99","27","125","56","1.53","6.95","3.11","5.47","4.98","","1.5","1.2","","557.6","16256"
"Danny Duffy","","18","18","98.0","6","6","8","0","0","91","46","15","101","35","1.29","9.26","3.20","4.25","4.34","","1.4","1.3","","580.0","3542"
"José Urquidy","HOU","24","24","136.0","8","8","10","0","0","137","70","25","120","35","1.27","7.94","2.31","4.64","4.70","","1.4","1.3","","210.4","18413"
"Corey Kluber","TBR","26","26","148.0","9","9","12","0","0","143","71","22","139","52","1.32","8.45","3.14","4.33","4.39","","1.4","1.5","","351.5","2429"
"Tylor Megill","NYM","21","21","115.0","7","7","9","0","0","108","53","17","118","39","1.27","9.18","3.04","4.16","4.22","","1.4","1.2","","314.6","21318"
"Andrew Heaney","LAD","24","24","134.0","9","8","10","0","0","128","67","25","141","41","1.26","9.49","2.73","4.49","4.55","","1.4","1.2","","305.2","15423"
"Zach Eflin","PHI","23","23","130.0","7","8","10","0","0","136","66","23","112","33","1.30","7.74","2.27","4.59","4.60","","1.3","1.2","","478.6","13774"
"JT Brubaker","PIT","24","24","138.0","7","9","10","0","0","140","70","22","127","46","1.34","8.25","2.98","4.56","4.53","","1.3","1.2","","488.1","17578"
"Michael Wacha","BOS","23","41","137.0","8","9","7","0","1","142","71","22","123","42","1.35","8.12","2.74","4.68","4.47","","1.3","1.5","","507.6","14078"
"Aaron Civale","CLE","28","28","160.0","8","11","12","0","0","168","82","27","135","44","1.33","7.58","2.49","4.61","4.61","","1.3","1.6","","266.1","19479"
"Bruce Zimmermann","BAL","23","23","126.0","7","9","9","0","0","130","65","20","103","47","1.41","7.39","3.35","4.68","4.88","","1.3","1.3","","597.6","20370"
"Sixto Sánchez","MIA","16","16","92.0","6","6","8","0","0","89","41","11","84","29","1.28","8.21","2.84","3.97","4.03","","1.3","1.2","","348.0","19680"
"Merrill Kelly","ARI","29","29","171.0","9","12","12","0","0","187","94","29","135","52","1.40","7.08","2.74","4.95","4.79","","1.3","1.0","","477.0","11156"
"Wade Miley","CHC","29","29","167.0","9","11","12","0","0","184","87","24","119","60","1.46","6.43","3.23","4.71","4.80","","1.3","1.4","","447.8","8779"
"Nestor Cortes","NYY","19","51","139.0","8","8","7","0","1","132","70","26","146","49","1.30","9.46","3.14","4.55","4.64","","1.3","1.1","","360.8","17874"
"Miles Mikolas","STL","26","26","145.0","8","9","11","0","0","155","72","22","100","35","1.31","6.18","2.15","4.46","4.60","","1.2","1.1","","478.1","9803"
"Antonio Senzatela","COL","31","31","180.0","8","13","10","0","0","224","112","30","117","52","1.54","5.87","2.61","5.62","5.06","","1.2","0.9","","571.6","15488"
"Adbert Alzolay","CHC","23","27","127.0","7","9","8","0","1","124","65","21","124","46","1.34","8.75","3.27","4.61","4.55","","1.2","1.2","","356.6","17859"
"Dylan Bundy","MIN","29","29","166.0","9","11","11","0","0","173","92","29","150","57","1.38","8.13","3.10","4.98","4.79","","1.2","1.1","","450.0","12917"
"Austin Gomber","COL","29","29","158.0","8","12","8","0","0","175","93","28","142","62","1.51","8.10","3.56","5.34","4.96","","1.2","1.4","","516.0","16561"
"Josh Hader","MIL","0","67","67.0","4","3","0","26","2","43","22","8","107","28","1.05","14.34","3.70","2.95","2.95","","1.2","1.4","","33.1","14212"
"Michael Pineda","","29","29","167.0","9","11","11","0","0","182","90","30","132","42","1.35","7.11","2.29","4.87","4.77","","1.2","1.2","","437.8","5372"
"Kyle Hendricks","CHC","31","31","184.0","9","13","13","0","0","208","102","32","129","45","1.38","6.31","2.21","4.99","4.94","","1.2","1.0","","280.4","12049"
"Kris Bubic","KCR","23","23","124.0","7","8","9","0","0","123","62","17","109","55","1.43","7.87","3.98","4.51","4.64","","1.2","1.6","","495.8","21455"
"Aaron Ashby","MIL","6","61","90.0","5","4","3","1","10","76","34","9","105","42","1.30","10.49","4.15","3.43","3.63","","1.2","1.4","","270.8","23550"
"Dallas Keuchel","CHW","29","29","161.0","9","10","11","0","0","182","84","22","103","57","1.48","5.72","3.18","4.69","4.89","","1.2","1.3","","558.4","9434"
"Domingo Germán","NYY","13","51","109.0","6","6","5","0","1","104","52","18","113","33","1.25","9.33","2.69","4.29","4.29","","1.2","1.1","","401.7","17149"
"Triston McKenzie","CLE","23","23","122.0","7","8","8","0","0","110","62","21","134","54","1.35","9.95","3.99","4.59","4.69","","1.2","1.3","","234.3","18000"
"Taijuan Walker","NYM","29","29","166.0","9","11","12","0","0","165","85","28","150","59","1.35","8.14","3.19","4.62","4.73","","1.1","0.8","","375.8","11836"
"Randy Dobnak","MIN","23","35","138.0","8","9","8","0","1","159","74","17","88","44","1.47","5.73","2.87","4.81","4.64","","1.1","0.9","","595.9","23798"
"James Kaprielian","OAK","23","37","140.0","7","9","9","0","1","134","70","23","137","48","1.30","8.81","3.07","4.52","4.54","","1.1","1.1","","354.9","18331"
"Cal Quantrill","CLE","29","29","169.0","9","12","12","0","0","176","90","27","139","57","1.38","7.44","3.02","4.78","4.78","","1.1","1.4","","261.5","19312"
"Matthew Boyd","","15","15","81.0","5","5","6","0","0","77","38","13","81","24","1.25","9.00","2.64","4.28","4.36","","1.1","1.1","","595.5","15440"
"Aroldis Chapman","NYY","0","64","64.0","4","2","0","32","2","42","21","6","97","32","1.16","13.71","4.49","2.92","3.05","","1.1","1.2","","84.2","10233"
"Hunter Greene","CIN","19","19","111.0","6","7","8","0","0","109","59","19","112","45","1.39","9.09","3.68","4.80","4.76","","1.1","1.1","","438.2","sa3005315"
"Mike Soroka","ATL","18","18","102.0","6","6","8","0","0","108","50","14","82","32","1.37","7.25","2.79","4.45","4.38","","1.1","1.1","","516.5","18383"
"Luke Weaver","ARI","26","26","140.0","8","10","9","0","0","145","74","24","131","47","1.36","8.37","2.99","4.75","4.60","","1.1","1.2","","468.7","16918"
"Josiah Gray","WSN","24","24","139.0","7","9","9","0","0","138","78","27","136","55","1.39","8.85","3.55","5.06","5.07","","1.1","0.9","","285.2","24580"
"Taylor Rogers","MIN","0","67","67.0","4","3","0","24","4","56","23","7","84","19","1.12","11.34","2.59","3.13","3.00","","1.1","1.2","","202.3","13449"
"Emmanuel Clase","CLE","0","67","67.0","4","3","0","31","2","55","22","6","80","21","1.15","10.71","2.88","2.92","2.93","","1.1","1.3","","60.5","21032"
"Elieser Hernandez","MIA","26","26","140.0","8","10","10","0","0","135","71","25","134","42","1.27","8.61","2.73","4.54","4.62","","1.1","1.0","","331.9","16933"
"Reid Detmers","LAA","16","16","90.0","6","5","7","0","0","82","43","15","95","34","1.30","9.59","3.44","4.32","4.43","","1.1","1.2","","424.4","27468"
"Adrian Houser","MIL","28","28","149.0","8","10","10","0","0","159","79","19","112","63","1.49","6.77","3.84","4.76","4.77","","1.1","1.1","","428.8","12718"
"Tyler Alexander","DET","21","45","136.0","7","9","7","0","1","143","71","22","111","40","1.35","7.31","2.64","4.70","4.70","","1.0","1.1","","568.5","17735"
"Matt Manning","DET","26","26","140.0","7","10","9","0","0","149","76","21","107","50","1.43","6.85","3.23","4.86","4.80","","1.0","1.1","","512.7","20369"
"Zach Plesac","CLE","29","29","171.0","9","12","13","0","0","183","90","30","133","46","1.34","7.02","2.45","4.75","4.84","","1.0","1.4","","330.8","19979"
"Keegan Akin","BAL","21","21","111.0","6","8","7","0","0","110","59","19","101","46","1.41","8.18","3.77","4.76","4.98","","1.0","1.1","","597.5","19362"
"Kwang Hyun Kim","","24","24","129.0","7","9","8","0","0","139","68","20","99","44","1.42","6.91","3.09","4.73","4.79","","1.0","1.0","","556.9","27458"
"Glenn Otto","TEX","18","18","97.0","6","6","7","0","0","95","47","15","94","35","1.33","8.70","3.21","4.38","4.40","","1.0","1.1","","570.6","21366"
"José Suarez","LAA","24","24","131.0","8","9","9","0","0","132","67","21","115","52","1.40","7.90","3.59","4.62","4.81","","1.0","1.3","","484.7","19911"
"Garrett Richards","","24","24","130.0","7","9","8","0","0","136","70","20","109","55","1.46","7.54","3.78","4.84","4.85","","1.0","0.9","","600.5","9784"
"Madison Bumgarner","ARI","31","31","184.0","9","13","12","0","0","201","106","35","146","54","1.39","7.14","2.64","5.19","5.11","","1.0","0.8","","465.5","5524"
"Edwin Díaz","NYM","0","67","67.0","4","3","0","33","2","48","24","8","94","25","1.10","12.66","3.42","3.17","3.18","","1.0","0.9","","66.9","14710"
"Raisel Iglesias","LAA","0","68","68.0","4","3","0","31","2","54","25","9","87","19","1.08","11.54","2.58","3.27","3.30","","1.0","1.0","","51.5","17130"
"Ryan Pressly","HOU","0","66","66.0","4","3","0","30","2","56","24","7","78","20","1.15","10.63","2.73","3.22","3.19","","0.9","1.0","","67.8","7005"
"Eric Lauer","MIL","23","27","129.0","7","8","9","0","1","127","66","22","121","50","1.37","8.49","3.47","4.64","4.80","","0.9","1.2","","310.6","19316"
"Grayson Rodriguez","BAL","13","13","74.0","4","5","6","0","0","70","37","12","72","28","1.34","8.83","3.47","4.53","4.63","","0.9","0.9","","466.1","sa3008130"
"Carlos Hernández","KCR","24","24","134.0","7","9","9","0","0","135","72","20","116","60","1.45","7.75","3.99","4.85","4.84","","0.9","1.3","","443.2","22713"
"Martín Pérez","","23","23","120.0","7","8","8","0","0","128","63","18","97","43","1.42","7.25","3.23","4.69","4.73","","0.9","1.0","","599.8","6902"
"Cole Irvin","OAK","29","29","165.0","9","12","12","0","0","176","86","27","117","44","1.34","6.39","2.41","4.68","4.84","","0.9","1.2","","506.8","19244"
"Aaron Bummer","CHW","0","64","64.0","4","3","0","0","16","53","21","5","74","27","1.25","10.38","3.84","3.01","3.28","","0.9","1.1","","582.4","16258"
"Nate Pearson","TOR","15","33","99.0","6","6","6","0","1","89","48","15","106","43","1.34","9.63","3.90","4.39","4.49","","0.9","1.2","","431.5","20160"
"Matt Barnes","BOS","0","66","66.0","4","3","0","11","10","54","26","7","86","29","1.24","11.70","3.90","3.60","3.45","","0.9","0.9","","274.0","12863"
"Reiver Sanmartin","CIN","13","33","94.0","5","6","5","0","1","97","47","14","81","33","1.38","7.79","3.12","4.48","4.51","","0.9","0.9","","514.5","19754"
"Luis Patiño","TBR","15","55","118.0","7","7","5","0","1","105","56","18","124","49","1.30","9.45","3.71","4.26","4.43","","0.9","0.9","","295.6","22815"
"Jonathan Loáisiga","NYY","0","66","66.0","4","3","0","2","13","58","25","7","73","22","1.22","9.97","3.06","3.47","3.54","","0.9","0.8","","403.9","19753"
"Garrett Crochet","CHW","3","59","74.0","4","4","2","0","10","61","30","10","92","33","1.26","11.06","4.03","3.66","3.85","","0.9","0.9","","509.9","27463"
"Dustin May","LAD","5","29","51.0","3","2","2","0","1","44","19","6","59","15","1.17","10.41","2.74","3.44","3.40","","0.9","0.8","","531.7","19716"
"Jordan Lyles","","28","28","158.0","7","12","10","0","0","172","94","31","124","56","1.44","7.08","3.16","5.34","5.35","","0.8","0.6","","564.0","7593"
"Jordan Romano","TOR","0","66","66.0","4","3","0","27","3","52","25","7","85","26","1.19","11.57","3.60","3.38","3.41","","0.8","1.0","","96.5","16122"
"Erick Fedde","WSN","23","23","121.0","7","9","7","0","0","132","68","19","96","46","1.47","7.17","3.39","5.05","4.92","","0.8","0.6","","574.4","17425"
"Matt Brash","SEA","11","43","97.0","5","6","5","0","1","86","44","13","103","43","1.34","9.55","4.02","4.10","4.27","","0.8","0.9","","576.8","sa3010616"
"Tyler Anderson","","29","29","169.0","9","12","11","0","0","181","94","33","132","51","1.37","7.00","2.71","5.01","5.15","","0.8","0.9","","549.7","12880"
"Spencer Howard","TEX","23","23","111.0","7","8","6","0","0","109","58","18","104","45","1.39","8.45","3.65","4.73","4.77","","0.8","0.9","","548.5","23252"
"Brett Anderson","","23","23","116.0","7","8","7","0","0","135","61","15","66","35","1.47","5.14","2.72","4.74","4.77","","0.8","0.9","","600.9","8223"
"Devin Williams","MIL","0","65","65.0","3","3","0","2","13","50","25","7","85","31","1.24","11.81","4.26","3.41","3.54","","0.8","0.8","","303.0","15816"
"Joe Ross","WSN","16","16","91.0","5","6","6","0","0","94","49","15","80","32","1.39","7.95","3.14","4.90","4.80","","0.8","0.6","","598.7","12972"
"Jesús Luzardo","MIA","16","34","106.0","6","7","6","0","1","100","50","15","102","42","1.35","8.69","3.61","4.24","4.41","","0.8","0.9","","289.1","19959"
"Tony Gonsolin","LAD","26","26","139.0","8","9","9","0","0","136","76","25","140","60","1.40","9.04","3.85","4.89","4.93","","0.7","0.6","","306.9","19388"
"Wily Peralta","","26","26","143.0","7","10","9","0","0","156","80","22","107","59","1.50","6.71","3.73","5.05","5.07","","0.7","0.6","","598.5","7738"
"Justin Steele","CHC","15","48","114.0","6","7","6","0","1","109","57","16","108","53","1.42","8.55","4.17","4.48","4.64","","0.7","0.9","","590.2","17312"
"Zac Lowther","BAL","18","36","115.0","6","8","6","0","1","116","61","18","98","51","1.45","7.63","3.94","4.75","5.00","","0.7","0.9","","999.0","20243"
"Chad Green","NYY","0","63","63.0","3","3","0","1","16","53","26","10","76","18","1.14","10.88","2.61","3.73","3.78","","0.7","0.7","","394.7","15552"
