playerid,Name,OttoneuID,FG MinorLeagueID,MLB Org,Position(s),Avg Salary,Median Salary,Min Salary,Max Salary,Last 10,Roster%
17954.0,Sam Hilliard,21476,sa829542,COL,OF,$5.20,$4.00,$3,$11,$1.70,7.462999999999999
19262.0,Garrett Hampson,31424,sa738479,COL,2B/OF,$5.19,$5.00,$1,$14,$2.50,21.791
16622.0,Luis Urias,20827,sa828496,MIL,2B/SS/3B,$5.19,$4.00,$3,$15,$3.70,87.463
6785.0,Andrew Miller,2191,sa326467,FA,RP,$5.14,$5.00,$3,$10,$1.80,2.09
13684.0,John Gant,23569,sa599212,FA,SP/RP,$5.13,$4.00,$3,$9,$5.50,2.388
15878.0,Miguel Andujar,23720,sa659185,NYY AAA,OF,$5.12,$3.00,$3,$16,$1.70,5.075
27458.0,Kwang Hyun Kim,38109,,FA,SP/RP,$5.11,$5.00,$3,$10,$2.70,8.357999999999999
16933.0,Elieser Hernandez,30602,sa658203,MIA,SP,$5.09,$5.00,$3,$10,$2.10,32.537
13602.0,Patrick Wisdom,23766,sa657868,CHC,1B/3B/OF,$5.09,$5.00,$3,$12,$3.90,39.403
13781.0,Alex Wood,18221,sa621049,SFG,SP,$5.09,$5.00,$3,$14,$4.90,83.881
16703.0,Julian Merryweather,21346,sa829363,TOR,RP,$5.06,$5.00,$3,$11,$2.00,9.254
11836.0,Taijuan Walker,14646,sa548165,NYM,SP,$5.01,$5.00,$3,$19,$2.80,30.746
18054.0,Sam Haggerty,22041,sa858804,SEA,OF,$5.00,$5.00,$3,$7,$1.60,0.597
5705.0,Tim Lincecum,935,sa326472,TEX AAA,RP,$5.00,$5.00,$5,$5,$1.20,0.299
9744.0,Justin Bour,5807,sa502196,SFG AAA,1B,$5.00,$5.00,$2,$8,$1.50,0.597
10430.0,Mychal Givens,12845,sa500805,FA,RP,$5.00,$4.00,$3,$9,$2.10,4.178999999999999
9490.0,Jeremy Jeffress,4276,sa326478,FA,RP,$5.00,$5.00,$5,$5,$1.90,0.299
7441.0,Wade Davis,2226,sa254328,FA,RP,$5.00,$3.00,$3,$11,$1.40,1.493
19266.0,Taylor Widener,32756,sa918271,ARI,SP/RP,$5.00,$5.00,$3,$7,$1.30,0.8959999999999999
sa3008479,Michael Stefanic,35785,sa3008479,LAA AAA,2B/3B,$5.00,$6.00,$3,$6,$3.25,0.8959999999999999
13799.0,Matt Strahm,23691,sa658557,FA,RP,$5.00,$5.00,$5,$5,$1.30,0.299
13273.0,Ross Stripling,23598,sa598259,TOR,SP/RP,$5.00,$3.00,$3,$13,$1.90,3.582
20036.0,Isaac Paredes,23831,sa920275,DET,2B/3B,$5.00,$5.00,$3,$7,$1.60,2.687
14885.0,Pat Valaika,18632,sa708988,FA,2B/SS,$5.00,$5.00,$5,$5,$1.10,0.299
15674.0,Reese McGuire,18295,sa737505,TOR,C,$5.00,$5.00,$5,$5,$1.20,0.299
18872.0,Jahmai Jones,22689,sa874807,BAL,2B,$5.00,$5.00,$3,$7,$1.10,0.597
1514.0,Oliver Perez,9744,sa167996,CLE,RP,$5.00,$5.00,$5,$5,$1.30,0.299
20153.0,Nick Nelson,31534,sa829552,PHI AAA,SP/RP,$5.00,$5.00,$5,$5,$1.20,0.299
15767.0,Jose Marmolejos,28880,sa598311,SEA AAA,1B/OF,$5.00,$5.00,$5,$5,$1.10,0.299
13403.0,Felix Pena,10205,sa506724,LAA AAA,SP/RP,$5.00,$5.00,$5,$5,$2.10,0.299
18323.0,Josh Sborz,20449,sa827472,TEX,RP,$5.00,$5.00,$5,$5,$1.50,0.597
4141.0,Derek Holland,5441,sa328248,FA,RP,$5.00,$5.00,$5,$5,$2.00,0.299
22871.0,Tucupita Marcano,25790,sa3002857,PIT AAA,2B/OF,$5.00,$5.00,$5,$5,$2.00,0.299
12160.0,Ben Gamel,14899,sa548493,PIT,OF,$5.00,$5.00,$5,$5,$1.20,0.299
20206.0,Michael Baumann,31553,sa829681,BAL,SP/RP,$5.00,$5.00,$5,$5,$1.60,0.299
20237.0,Tyler Ivey,26748,sa3004574,HOU CPX,RP,$5.00,$5.00,$5,$5,$1.17,0.299
19667.0,Zach Reks,26496,sa3004166,TEX AAA,OF,$5.00,$5.00,$5,$5,$1.75,0.299
17585.0,Jordan Yamamoto,21087,sa829040,NYM CPX,SP/RP,$5.00,$5.00,$5,$5,$1.40,0.299
18311.0,Carson Fulmer,18488,sa658272,LAD AAA,RP,$5.00,$3.00,$3,$9,$1.00,0.8959999999999999
15464.0,Hunter Renfroe,18258,sa549860,MIL,OF,$4.99,$4.00,$3,$23,$5.20,89.851
12371.0,Tommy La Stella,18274,sa598119,SFG,2B/3B,$4.96,$5.00,$3,$9,$2.10,8.357999999999999
17277.0,Ranger Suarez,31194,sa659551,PHI,SP/RP,$4.94,$4.00,$3,$14,$7.20,91.94
16535.0,Danny Jansen,19481,sa738162,TOR,C,$4.93,$4.00,$1,$12,$1.40,8.955
15552.0,Chad Green,23643,sa550041,NYY,RP,$4.93,$5.00,$3,$12,$2.10,53.13399999999999
16400.0,Reynaldo Lopez,18415,sa696415,CHW,SP/RP,$4.92,$4.00,$3,$12,$2.10,14.925
20039.0,Adrian Morejon,23672,sa969093,SDP,RP,$4.91,$5.00,$3,$8,$1.20,6.8660000000000005
17149.0,Domingo German,13063,sa548637,NYY,SP,$4.89,$4.00,$3,$13,$2.30,21.791
14771.0,Emilio Pagan,19394,sa737885,SDP,RP,$4.89,$5.00,$3,$9,$2.30,8.06
7196.0,Greg Holland,5534,sa389859,FA,RP,$4.88,$5.00,$3,$10,$2.20,5.075
20186.0,Brendan McKay,23816,sa829698,TBR CPX,SP/RP,$4.88,$4.00,$2,$16,$2.90,12.239
19879.0,Tanner Houck,23811,sa829037,BOS,SP/RP,$4.87,$4.00,$3,$18,$4.20,91.94
13758.0,Tyler Duffey,18530,sa621630,MIN,RP,$4.86,$5.00,$3,$12,$1.40,14.627
11760.0,Drew Smyly,18146,sa548264,FA,SP/RP,$4.86,$5.00,$3,$9,$2.10,4.178999999999999
15440.0,Matthew Boyd,18465,sa621603,FA,SP,$4.85,$4.00,$3,$11,$1.90,11.94
15351.0,Frank Schwindel,19496,sa738182,CHC,1B,$4.84,$4.00,$3,$13,$3.60,63.881
19848.0,Darwinzon Hernandez,20683,sa828318,BOS,RP,$4.83,$5.00,$3,$10,$1.40,3.582
16929.0,Touki Toussaint,18370,sa828666,ATL AAA,SP,$4.83,$4.00,$3,$13,$2.30,8.955
9927.0,Brett Gardner,1244,sa291262,FA,OF,$4.83,$4.00,$3,$9,$1.50,1.791
19206.0,Dakota Hudson,23707,sa738673,STL,SP/RP,$4.82,$4.00,$3,$12,$2.30,16.715999999999998
