"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","WAR","-1","ADP","-1","InterSD","InterSK","IntraSD","playerid"
"Ozzie Albies","ATL","147","645","592","161","36","6","29","99","88","44","118","5","17","5","",".273",".326",".498",".824",".348","115","","4.2","","18.7","","2.40","0.68","0.44","16556"
"Bryan Reynolds","PIT","150","630","551","157","32","5","25","84","85","69","127","7","5","2","",".286",".370",".499",".869",".370","133","","4.1","","92.3","","1.96","1.27","0.73","19326"
"Yasmani Grandal","CHW","125","510","411","97","17","1","26","71","72","89","123","4","1","1","",".236",".374",".468",".842",".363","129","","4.1","","96.9","","2.04","2.10","0.71","11368"
"Shohei Ohtani","LAA","142","595","511","133","25","5","38","96","93","78","170","4","22","7","",".260",".361",".548",".910",".381","143","","3.9","","8.6","","6.37","-0.02","0.90","19755"
"Jose Altuve","HOU","141","632","567","157","30","2","25","100","77","56","92","5","6","3","",".277",".346",".470",".816",".349","124","","3.9","","73.3","","2.31","-0.24","0.74","5417"
"Matt Chapman","OAK","146","614","533","120","24","3","29","79","79","68","185","6","2","1","",".225",".317",".447",".764",".328","112","","3.9","","189.6","","2.42","0.10","1.25","16505"
"Jonathan India","CIN","147","634","541","142","31","2","23","98","71","71","143","18","12","3","",".262",".363",".454",".817",".354","116","","3.8","","90.6","","3.66","-0.88","0.70","21523"
"Ketel Marte","ARI","142","610","553","162","35","4","22","84","78","47","89","5","5","2","",".293",".351",".491",".843",".358","122","","3.8","","80.0","","2.70","-0.92","0.91","13613"
"Nolan Arenado","STL","151","644","579","150","29","2","31","83","97","52","93","4","2","1","",".258",".320",".479",".799",".334","110","","3.7","","67.1","","1.77","-0.19","0.99","9777"
"Salvador Perez","KCR","139","585","545","144","25","1","34","74","99","25","139","10","1","1","",".264",".307",".501",".808",".339","114","","3.7","","33.0","","1.90","0.52","1.12","7304"
"J.T. Realmuto","PHI","142","587","526","138","27","3","22","77","79","47","137","10","12","3","",".262",".333",".452",".786",".337","109","","3.6","","50.5","","2.43","-0.45","0.29","11739"
"Joey Gallo","NYY","143","593","487","102","18","1","38","86","89","97","207","7","5","1","",".209",".347",".488",".835",".356","125","","3.6","","175.8","","3.84","-0.31","1.87","14128"
"Paul Goldschmidt","STL","151","661","578","160","29","2","30","96","89","75","138","4","8","2","",".277",".362",".490",".852",".360","127","","3.5","","48.2","","2.27","-0.60","0.52","9218"
"Pete Alonso","NYM","153","650","568","147","28","2","40","91","107","64","144","14","2","1","",".259",".347",".527",".874",".369","133","","3.5","","48.6","","1.75","0.28","1.34","19251"
"Yoán Moncada","CHW","143","616","535","139","30","3","19","79","70","71","163","7","4","2","",".260",".352",".435",".787",".342","115","","3.4","","150.9","","1.65","0.42","0.35","17232"
"Josh Donaldson","MIN","134","564","475","117","25","1","28","78","76","78","126","6","1","1","",".247",".357",".479",".836",".358","128","","3.3","","195.7","","2.56","-0.73","0.78","5038"
"Cedric Mullins","BAL","149","643","572","149","30","5","23","87","62","51","121","7","26","7","",".261",".327",".450",".777",".333","109","","3.3","","32.3","","2.48","0.27","1.43","17929"
