"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","WAR","-1","ADP","-1","InterSD","InterSK","IntraSD","playerid"
"Ramón Urías","BAL","120","448","401","101","22","1","12","49","48","38","109","8","3","2","",".252",".329",".403",".732",".320","101","","1.7","","479.4","","1.79","0.03","0.48","18795"
"Hunter Renfroe","MIL","137","552","497","119","24","1","32","75","86","47","140","4","2","1","",".240",".307",".486",".793",".335","107","","1.7","","165.2","","2.50","0.27","1.05","15464"
"Alejandro Kirk","TOR","89","330","292","78","17","0","13","40","46","31","45","4","0","0","",".268",".344",".463",".806",".346","116","","1.7","","235.9","","3.34","-0.75","0.89","22581"
"Yandy Díaz","TBR","114","472","408","111","19","1","12","58","54","58","76","3","1","1","",".271",".364",".412",".776",".340","114","","1.6","","406.7","","3.40","-0.50","0.70","16578"
"Brandon Marsh","LAA","118","463","413","103","20","3","10","55","44","43","140","4","10","3","",".249",".323",".385",".708",".309","95","","1.6","","383.7","","4.33","1.26","0.87","20202"
"Aaron Hicks","NYY","107","436","368","84","16","2","16","57","51","60","98","4","3","2","",".228",".339",".412",".751",".327","105","","1.6","","486.1","","3.77","-1.04","0.31","5297"
"Omar Narváez","MIL","113","427","377","95","16","0","12","48","47","42","86","5","0","0","",".252",".332",".395",".727",".317","96","","1.6","","248.3","","2.27","-0.25","0.50","13338"
"Edmundo Sosa","STL","109","390","354","93","15","3","8","46","39","22","79","11","8","2","",".263",".324",".392",".716",".312","96","","1.6","","426.3","","2.11","0.21","1.04","17022"
"Akil Baddoo","DET","138","556","495","121","23","7","18","74","61","55","143","2","20","5","",".245",".321",".427",".749",".322","104","","1.6","","155.9","","3.16","0.15","1.17","22168"
"Andrés Giménez","CLE","117","419","382","94","19","3","12","51","41","21","99","10","18","5","",".246",".300",".403",".703",".303","91","","1.6","","275.5","","3.21","0.08","1.42","19950"
"C.J. Cron","COL","135","545","481","129","27","1","29","71","87","50","122","11","1","0","",".268",".349",".508",".857",".364","115","","1.6","","124.2","","3.48","-1.19","0.82","12546"
"Brendan Rodgers","COL","126","528","490","136","28","3","18","64","66","28","109","8","2","1","",".278",".325",".458",".783",".335","96","","1.6","","162.5","","3.41","-0.17","0.72","17907"
"Gary Sánchez","NYY","103","405","354","74","13","1","23","52","58","44","116","6","0","0","",".208",".307",".441",".748",".322","102","","1.6","","253.4","","2.27","-0.33","0.82","11442"
"Adam Duvall","ATL","134","534","488","113","20","2","34","70","88","37","155","6","3","1","",".232",".292",".492",".785",".330","103","","1.6","","223.5","","2.89","-0.64","1.26","10950"
"Patrick Wisdom","CHC","127","508","453","99","18","1","27","64","71","44","179","5","5","2","",".219",".295",".442",".736",".315","98","","1.6","","331.3","","3.14","-0.17","1.04","13602"
"Luke Voit","NYY","119","485","428","107","18","1","26","65","71","48","134","9","0","0","",".251",".337",".476",".813",".348","120","","1.6","","259.7","","2.14","-1.92","0.58","14811"
"Nelson Cruz","","127","540","478","125","21","1","28","72","83","50","127","8","1","1","",".261",".337",".486",".823",".348","119","","1.5","","174.6","","3.30","-0.11","0.71","2434"
"Trey Mancini","BAL","145","621","559","147","29","2","25","79","78","52","141","8","0","0","",".263",".333",".455",".787",".338","113","","1.5","","192.0","","2.98","-0.55","0.64","15149"
"Gavin Lux","LAD","114","439","393","101","19","4","13","59","52","42","97","2","6","2","",".258",".332",".422",".754",".326","105","","1.5","","241.8","","1.51","-0.55","0.48","19955"
"Jonah Heim","TEX","86","323","297","70","14","0","10","33","37","21","59","2","2","1","",".237",".291",".393",".685",".295","87","","1.5","","452.9","","1.56","0.72","0.81","16930"
"Spencer Torkelson","DET","106","435","381","95","19","1","19","58","59","45","99","6","3","1","",".248",".335",".454",".789",".339","115","","1.5","","262.6","","7.38","0.08","0.24","sa3014504"
"Austin Meadows","TBR","136","579","512","127","28","3","26","79","85","54","129","6","6","3","",".248",".324",".469",".793",".337","112","","1.5","","136.8","","3.43","-0.68","0.64","15672"
"Rafael Ortega","CHC","125","483","434","110","21","3","13","61","47","44","98","3","15","5","",".252",".324",".401",".726",".316","98","","1.5","","335.5","","2.13","1.89","1.03","10323"
"Lorenzo Cain","MIL","106","426","382","100","18","1","8","52","42","39","73","4","12","4","",".263",".336",".382",".718",".314","94","","1.5","","415.4","","3.31","2.38","1.12","9077"
"Isiah Kiner-Falefa","TEX","107","445","413","110","19","2","6","51","37","23","63","7","12","4","",".268",".315",".366",".681",".298","89","","1.5","","352.3","","5.11","-0.43","1.33","16512"
"Jose Miranda","MIN","96","392","364","99","21","1","13","48","49","20","54","5","2","1","",".271",".317",".440",".757",".323","104","","1.5","","421.0","","5.14","1.24","0.81","sa917952"
"Eugenio Suárez","CIN","129","534","466","106","20","1","31","70","79","56","153","7","1","1","",".228",".318",".469",".787",".336","104","","1.5","","193.3","","4.89","0.01","1.13","12552"
"Evan Longoria","SFG","109","435","390","98","19","1","17","55","58","36","95","4","2","1","",".252",".318",".439",".757",".321","102","","1.5","","409.9","","2.84","0.78","0.29","9368"
"Riley Greene","DET","89","375","338","86","15","3","12","47","43","32","104","4","7","2","",".255",".324",".421",".746",".322","103","","1.5","","305.3","","8.05","0.19","0.82","sa3010694"
"Yuli Gurriel","HOU","132","552","496","139","28","1","15","68","69","42","65","4","2","1","",".279",".336",".434",".769",".331","112","","1.4","","201.0","","4.11","-0.33","0.78","19198"
"Paul DeJong","STL","119","470","417","96","19","1","20","58","59","40","119","8","5","2","",".230",".306",".420",".727",".313","96","","1.4","","441.7","","2.21","0.63","0.47","18015"
"Cavan Biggio","TOR","119","484","411","94","20","2","15","60","51","65","127","4","8","2","",".228",".337",".391",".728",".320","99","","1.4","","300.5","","2.96","1.36","0.59","19252"
"James McCann","NYM","109","410","372","89","15","1","13","43","47","29","112","5","2","1","",".238",".299",".388",".687",".298","86","","1.4","","339.3","","3.24","-0.45","0.46","12859"
"Jarred Kelenic","SEA","131","542","486","113","23","3","21","67","67","49","136","4","12","5","",".232",".307",".422",".729",".314","103","","1.4","","136.9","","2.70","-0.60","0.84","22558"
"Josh Rojas","ARI","127","529","467","116","26","3","11","65","49","54","122","2","11","4","",".249",".326",".386",".712",".311","91","","1.4","","238.8","","2.71","0.45","0.78","19734"
"Lourdes Gurriel Jr.","TOR","135","544","502","135","27","2","23","67","76","32","110","4","3","2","",".269",".315",".465",".780",".332","107","","1.4","","141.7","","3.14","0.69","0.50","19238"
"Tony Kemp","OAK","126","433","369","93","17","3","7","52","36","48","60","7","8","3","",".251",".344",".370",".714",".316","103","","1.4","","424.8","","4.10","0.50","0.96","14894"
"Anthony Santander","BAL","130","547","507","127","29","1","26","68","74","31","114","5","2","1","",".250",".298",".466",".764",".324","103","","1.4","","272.5","","2.07","1.96","0.56","14551"
"Yan Gomes","CHC","83","319","291","72","14","1","12","37","40","20","69","5","1","0","",".249",".304",".422",".726",".311","95","","1.4","","373.6","","3.94","0.25","0.77","9627"
"Ha-Seong Kim","SDP","105","360","321","79","16","2","11","44","43","30","75","4","8","2","",".245",".316",".405",".721",".312","95","","1.4","","375.7","","2.93","0.81","0.83","27506"
"Gio Urshela","NYY","121","481","445","119","22","1","15","54","59","27","100","3","1","0","",".266",".311",".426",".736",".316","98","","1.4","","275.0","","3.32","-0.26","0.58","10681"
"David Fletcher","LAA","146","620","574","156","29","3","4","69","48","37","60","2","12","3","",".271",".317",".352",".669",".294","84","","1.4","","335.6","","2.31","-1.03","1.27","17992"
"Josh Harrison","","109","438","397","105","21","2","8","47","45","25","64","11","7","3","",".266",".323",".390",".713",".310","99","","1.4","","417.2","","2.41","-0.31","0.97","8202"
"Roberto Pérez","PIT","104","397","349","72","12","1","11","36","40","40","122","4","2","1","",".206",".294",".343",".637",".282","75","","1.3","","502.7","","1.86","-0.97","0.64","2900"
"Adolis García","TEX","136","570","532","122","25","2","26","71","76","29","181","6","12","5","",".230",".276",".430",".705",".300","90","","1.3","","164.6","","2.00","2.76","1.06","19287"
"Austin Nola","SDP","93","350","312","81","16","1","9","37","41","29","57","6","1","1","",".260",".332",".406",".738",".321","101","","1.3","","363.7","","2.75","0.13","0.88","15941"
"Elias Díaz","COL","104","381","348","90","18","1","14","45","47","28","65","2","0","0","",".259",".318",".434",".753",".324","88","","1.3","","247.0","","2.67","0.27","0.67","11680"
"Andrew Vaughn","CHW","131","534","472","119","25","1","21","63","64","50","110","7","2","1","",".252",".330",".439",".769",".331","108","","1.3","","238.6","","3.57","0.03","0.28","26197"
"Jorge Soler","","136","568","493","118","24","0","31","75","82","64","149","8","1","1","",".239",".333",".477",".810",".346","113","","1.3","","197.8","","3.84","-1.61","1.01","14221"
"Tucker Barnhart","DET","110","392","351","79","16","1","9","37","40","34","93","4","0","0","",".226",".300",".352",".652",".283","77","","1.3","","400.6","","2.87","-0.11","0.48","10200"
"Bryan De La Cruz","MIA","109","428","393","105","19","3","10","47","45","30","100","3","4","2","",".268",".322",".407",".729",".316","100","","1.3","","474.6","","3.06","0.05","0.87","19600"
"Kevin Kiermaier","TBR","114","422","380","89","17","5","7","50","42","35","104","5","11","4","",".234",".305",".362",".667",".292","82","","1.3","","581.1","","1.74","0.56","1.02","11038"
"Tommy La Stella","SFG","107","420","378","100","20","2","11","52","45","36","44","3","1","0","",".265",".333",".416",".749",".325","104","","1.3","","528.6","","3.77","-1.52","0.70","12371"
"Jake Meyers","HOU","95","373","337","83","17","1","11","45","44","25","97","6","7","2","",".245",".306",".407",".712",".308","97","","1.2","","574.7","","3.75","-0.68","0.75","20308"
"Martín Maldonado","HOU","112","416","364","72","13","1","13","43","42","42","119","6","0","0","",".196",".290",".338",".628",".278","77","","1.2","","549.2","","1.19","0.24","0.66","6887"
"Jeremy Peña","HOU","85","337","311","76","13","2","12","37","36","18","90","5","7","2","",".244",".294",".414",".709",".304","94","","1.2","","464.8","","5.77","-0.57","0.96","sa876320"
"Francisco Mejía","TBR","78","275","252","62","13","2","8","30","32","16","54","5","0","0","",".244",".302",".408",".710",".305","91","","1.2","","414.3","","2.27","0.88","0.96","16403"
"Chas McCormick","HOU","91","337","298","73","12","1","12","44","43","30","88","3","6","2","",".244",".315",".417",".732",".315","102","","1.2","","457.7","","5.06","-0.45","0.72","19599"
"Santiago Espinal","TOR","122","436","395","105","21","2","5","50","41","33","66","3","9","3","",".266",".324",".365",".688",".302","87","","1.2","","504.6","","3.99","0.18","1.13","19997"
"Tom Murphy","SEA","76","276","246","53","10","1","11","29","32","26","86","2","1","0","",".217",".295",".398",".693",".300","94","","1.2","","489.5","","1.79","-0.98","0.82","13499"
"Carter Kieboom","WSN","123","496","431","104","19","1","13","58","52","53","116","9","2","1","",".242",".334",".381",".715",".315","94","","1.2","","494.6","","3.17","-0.54","0.10","19958"
"Joey Wendle","MIA","119","461","423","108","23","3","9","57","45","25","96","9","8","4","",".255",".309",".387",".696",".301","91","","1.2","","362.8","","4.72","-0.20","0.80","13853"
"Aledmys Díaz","HOU","88","347","318","81","18","0","11","39","44","22","62","6","1","1","",".254",".311",".417",".728",".313","100","","1.2","","565.5","","2.95","-0.29","0.74","15937"
"Yadier Molina","STL","107","417","387","97","17","0","9","41","49","21","66","5","2","1","",".250",".294",".369",".663",".287","79","","1.2","","298.0","","2.26","2.79","0.64","7007"
"Michael A. Taylor","KCR","129","470","430","102","21","2","13","51","50","31","131","4","12","4","",".238",".294",".387",".681",".292","82","","1.2","","454.4","","3.24","0.00","0.89","11489"
"Kyle Farmer","CIN","122","438","404","103","21","1","13","49","51","21","87","10","3","2","",".255",".306",".407",".713",".308","86","","1.2","","492.7","","2.41","-0.23","0.50","14813"
"Manny Piña","ATL","74","253","227","53","10","0","10","29","32","20","54","5","0","0","",".234",".309",".417",".726",".314","93","","1.2","","553.3","","2.44","0.73","0.92","2829"
"Bryson Stott","PHI","79","317","283","70","14","1","8","37","33","30","74","1","5","2","",".247",".322",".396",".718",".312","93","","1.2","","462.5","","1.65","-0.46","0.97","sa3011443"
"Ryan Jeffers","MIN","71","259","234","52","9","0","11","28","31","22","85","4","0","0","",".221",".297",".409",".706",".306","93","","1.2","","469.6","","3.34","-0.45","0.87","24618"
"Kole Calhoun","TEX","107","443","390","90","17","1","19","56","55","43","102","5","3","1","",".231",".313",".427",".740",".318","102","","1.2","","480.4","","4.86","1.93","0.37","11200"
"Nick Ahmed","ARI","131","516","471","113","26","3","11","57","54","38","107","3","7","2","",".240",".299",".375",".674",".292","79","","1.1","","568.0","","2.38","-0.65","0.51","12147"
"Jesús Aguilar","MIA","128","511","451","115","21","0","21","60","75","49","100","4","0","0","",".256",".330",".443",".772",".331","110","","1.1","","302.2","","3.86","1.83","0.58","11342"
"Alex Kirilloff","MIN","119","494","456","124","25","2","19","58","66","30","104","4","4","2","",".271",".321",".458",".779",".332","110","","1.1","","178.5","","4.42","-0.45","0.56","20325"
"Garrett Cooper","MIA","107","431","382","101","18","1","15","53","54","41","110","6","2","1","",".265",".344",".436",".780",".338","115","","1.1","","506.8","","3.75","1.43","0.57","15279"
"David Peralta","ARI","127","514","467","126","25","5","12","58","62","40","95","4","2","1","",".269",".331",".417",".748",".323","99","","1.1","","469.8","","1.83","0.31","0.66","2136"
"Manuel Margot","TBR","116","444","402","103","20","3","10","54","49","36","74","2","14","6","",".256",".317",".398",".715",".310","94","","1.1","","361.3","","3.66","0.00","1.07","14712"
"Jonathan Villar","","112","450","404","100","17","2","13","56","42","39","115","3","16","6","",".246",".317",".390",".707",".308","93","","1.1","","291.7","","5.17","0.03","1.22","10071"
"Andrelton Simmons","","109","416","384","96","17","1","4","41","35","27","55","3","3","1","",".250",".303",".333",".636",".280","75","","1.1","","588.8","","2.78","-0.46","0.84","10847"
"LaMonte Wade Jr.","SFG","117","453","395","96","18","3","16","59","54","47","96","6","6","2","",".244",".333",".428",".761",".330","107","","1.1","","304.6","","3.10","0.32","0.35","18126"
"Jose Barrero","CIN","76","294","268","69","15","1","9","35","35","20","74","6","7","2","",".256",".319",".419",".738",".319","93","","1.1","","427.0","","9.13","-0.17","1.13","23378"
"Taylor Walls","TBR","89","345","302","69","16","2","6","39","32","38","92","2","10","4","",".228",".318",".351",".668",".296","85","","1.1","","559.9","","3.31","-0.14","1.15","22458"
"Wil Myers","SDP","138","527","469","114","24","2","20","64","67","53","150","3","7","4","",".244",".322",".431",".753",".325","104","","1.1","","294.7","","2.92","1.15","0.37","10047"
"Wilmer Flores","SFG","108","402","365","98","19","1","16","50","52","31","54","4","1","0","",".268",".329",".452",".781",".335","110","","1.1","","407.0","","2.46","-0.95","0.68","5827"
"Adalberto Mondesi","KCR","120","492","458","112","22","5","16","66","56","24","143","3","42","8","",".245",".285",".422",".708",".302","89","","1.1","","60.5","","4.85","-0.15","2.85","13769"
"Travis d'Arnaud","ATL","112","444","402","101","19","0","16","50","57","35","105","4","0","0","",".251",".314",".418",".733",".316","94","","1.1","","209.7","","2.41","-0.79","0.42","7739"
"Joc Pederson","","120","454","403","95","19","2","21","59","60","40","107","9","2","2","",".236",".316",".450",".766",".327","101","","1.0","","447.6","","2.12","-0.66","0.38","11899"
"Lane Thomas","WSN","118","450","399","96","21","3","15","60","53","46","119","4","10","4","",".241",".324",".417",".741",".322","99","","1.0","","250.8","","2.52","0.92","0.65","16939"
"José Iglesias","","102","403","380","103","22","2","7","45","43","16","57","5","4","2","",".272",".309",".391",".699",".302","86","","1.0","","591.8","","2.29","-0.08","1.05","10231"
"Connor Joe","COL","112","432","374","99","21","1","15","56","54","49","92","5","2","1","",".266",".355",".447",".802",".347","104","","1.0","","329.5","","3.83","-0.33","0.54","16572"
"Tyler Naquin","CIN","121","472","432","113","23","2","18","60","63","31","113","4","5","2","",".261",".315",".450",".764",".326","98","","1.0","","374.8","","2.90","-0.20","0.32","13359"
"Leury García","CHW","123","491","447","117","20","3","8","59","45","31","103","5","8","2","",".263",".315",".373",".688",".300","88","","1.0","","492.1","","3.67","0.60","0.88","5913"
"Pedro Severino","MIL","81","302","271","65","11","1","10","28","34","26","74","2","0","0","",".239",".309",".402",".711",".308","90","","1.0","","474.0","","2.65","-0.05","0.93","14523"
"Tyrone Taylor","MIL","103","366","333","82","16","2","15","46","49","25","80","6","6","1","",".246",".311",".442",".753",".323","100","","0.9","","472.2","","3.83","-0.09","0.65","13675"
"Victor Robles","WSN","113","425","376","88","21","2","9","53","39","30","102","13","12","4","",".235",".311",".371",".682",".299","84","","0.9","","446.0","","3.03","-0.47","1.04","18363"
"Chad Pinder","OAK","112","415","379","92","20","1","15","49","49","29","106","5","2","1","",".243",".303",".417",".720",".310","100","","0.9","","569.7","","4.71","-0.73","0.37","15191"
"Austin Slater","SFG","90","299","263","66","12","2","10","39","31","30","78","5","12","3","",".251",".338",".420",".758",".330","108","","0.9","","559.7","","5.19","1.51","1.35","16153"
"Ben Gamel","PIT","140","534","464","114","26","3","13","60","51","62","139","5","6","3","",".246",".338",".398",".736",".322","101","","0.9","","573.4","","4.02","-0.20","0.38","12160"
"Leody Taveras","TEX","80","319","288","66","13","2","8","37","30","27","87","2","13","4","",".229",".298",".372",".670",".292","84","","0.9","","535.1","","7.06","0.20","1.38","18900"
"Alec Bohm","PHI","121","487","440","116","21","1","13","59","56","39","113","3","5","2","",".264",".326",".410",".737",".319","97","","0.9","","286.5","","3.02","0.33","0.51","21618"
"Alek Thomas","ARI","64","261","237","63","13","3","6","33","27","19","59","3","5","3","",".267",".328",".424",".751",".324","100","","0.9","","544.4","","5.45","0.17","1.33","sa3006892"
"Andrew McCutchen","","116","487","416","100","20","1","20","66","61","63","108","4","5","2","",".240",".343",".439",".783",".337","109","","0.9","","355.5","","2.17","-2.16","0.30","9847"
"Cal Raleigh","SEA","73","275","254","57","13","0","10","27","32","17","74","2","1","1","",".225",".278",".395",".673",".289","86","","0.9","","534.5","","1.74","2.19","0.91","21534"
"Joey Bart","SFG","95","357","331","79","15","1","8","38","38","19","111","6","1","1","",".240",".292",".367",".659",".288","79","","0.9","","268.3","","2.20","1.34","0.65","21524"
"Jason Heyward","CHC","100","388","345","84","15","2","11","42","40","37","74","4","5","1","",".243",".322",".390",".712",".310","94","","0.9","","598.7","","2.04","0.92","0.72","4940"
"Kevin Plawecki","BOS","68","239","216","56","12","1","6","25","27","17","41","4","1","0","",".258",".324",".397",".721",".312","92","","0.9","","574.7","","1.46","-0.05","1.25","13807"
"Curt Casali","SFG","81","273","241","53","10","0","8","27","28","27","76","4","0","0","",".220",".307",".363",".670",".295","84","","0.9","","592.5","","3.12","0.23","0.88","12510"
"Jason Castro","HOU","50","172","148","32","6","0","7","20","20","21","53","2","0","0","",".216",".320",".401",".721",".315","101","","0.9","","594.2","","2.61","0.22","1.20","8722"
"Nick Solak","TEX","104","427","384","99","17","1","11","52","45","32","87","8","6","3","",".257",".323",".393",".717",".313","99","","0.9","","422.7","","3.12","0.49","0.71","19294"
"Didi Gregorius","PHI","115","473","432","105","20","2","16","53","62","29","72","6","3","1","",".242",".297",".411",".708",".303","87","","0.9","","460.0","","3.41","0.14","0.31","6012"
"Darin Ruf","SFG","96","328","284","71","14","1","14","42","43","39","86","3","2","1","",".251",".348",".456",".804",".347","119","","0.8","","437.3","","6.94","1.35","0.70","9929"
"Brad Miller","","89","314","275","65","12","2","14","41","42","36","90","2","2","1","",".235",".326",".447",".773",".331","105","","0.8","","552.6","","2.81","-1.94","0.61","12775"
"Elvis Andrus","OAK","101","401","370","91","18","2","6","42","34","24","61","3","9","3","",".247",".296",".349",".646",".282","81","","0.8","","564.3","","1.02","0.40","1.11","8709"
"Odúbel Herrera","","91","371","339","89","19","2","10","44","42","24","65","4","4","2","",".262",".317",".418",".736",".317","96","","0.8","","583.5","","6.03","0.06","0.86","11476"
"Luis Torrens","SEA","84","319","290","70","14","1","11","33","38","25","78","2","0","0","",".240",".303",".413",".716",".305","97","","0.8","","393.0","","4.57","-0.37","0.77","15905"
"Gavin Sheets","CHW","110","418","377","96","17","1","18","51","59","35","94","3","1","1","",".254",".321",".448",".770",".330","108","","0.8","","488.7","","4.76","-0.70","0.49","19901"
"Austin Barnes","LAD","61","216","189","43","8","0","6","25","23","21","52","4","2","1","",".226",".312",".361",".673",".297","85","","0.8","","593.6","","1.94","0.21","1.11","12158"
"Jordan Luplow","ARI","86","331","286","68","15","1","14","45","42","39","83","4","3","2","",".237",".334",".446",".780",".337","108","","0.8","","597.5","","3.45","-0.51","0.57","16424"
"Miguel Sanó","MIN","138","561","494","111","23","1","33","78","83","62","200","4","1","1","",".224",".315",".478",".793",".337","114","","0.8","","276.0","","2.17","-0.16","1.37","12164"
"Victor Caratini","SDP","66","233","207","50","9","0","5","24","25","21","51","3","1","0","",".242",".320",".368",".688",".301","88","","0.8","","560.1","","1.54","0.88","1.18","14968"
"Frank Schwindel","CHC","131","553","516","137","28","1","21","69","73","30","98","4","2","1","",".265",".310",".442",".752",".322","102","","0.8","","234.3","","4.68","0.18","0.41","15351"
"Eddie Rosario","","120","490","455","119","22","2","22","61","72","28","74","1","9","3","",".263",".305",".463",".768",".325","100","","0.8","","175.7","","3.55","-0.36","0.41","12155"
"Donovan Solano","","88","334","307","84","17","1","6","35","35","19","61","5","1","0","",".272",".322",".394",".716",".311","95","","0.8","","597.2","","2.67","-2.42","1.17","8623"
"Vidal Bruján","TBR","69","268","244","61","13","2","5","33","26","22","49","2","14","5","",".249",".314",".378",".692",".302","89","","0.8","","335.3","","4.92","-0.22","1.67","20536"
"Carlos Santana","KCR","123","524","445","104","19","1","17","61","61","73","84","3","1","1","",".234",".342",".396",".738",".323","103","","0.8","","452.8","","5.49","0.43","0.34","2396"
"Rowdy Tellez","MIL","116","436","392","99","20","1","21","53","62","34","91","6","1","0","",".254",".320",".469",".789",".335","108","","0.8","","314.2","","5.41","-0.23","0.49","15679"
"Jake Fraley","SEA","88","345","298","67","14","2","11","40","39","40","96","5","11","4","",".225",".325",".391",".716",".314","103","","0.8","","594.0","","3.04","0.87","1.12","19260"
"Thairo Estrada","SFG","69","240","221","58","10","1","8","30","27","14","46","3","3","1","",".261",".314",".418",".732",".316","98","","0.8","","599.2","","2.60","1.13","1.25","16426"
"Steven Kwan","CLE","76","311","282","77","15","2","6","35","33","23","37","2","4","1","",".274",".332",".412",".745",".322","104","","0.8","","514.5","","2.65","1.17","1.27","sa3008536"
"Niko Goodrum","","88","353","315","69","15","2","11","43","35","32","112","3","12","4","",".220",".294",".381",".675",".294","84","","0.8","","559.5","","6.37","0.07","1.21","12092"
"Jed Lowrie","","104","414","369","91","21","1","12","46","50","39","87","2","0","0","",".246",".321",".404",".725",".311","100","","0.8","","594.5","","1.66","-0.87","0.42","4418"
"Adam Engel","CHW","89","337","307","73","16","2","12","42","37","21","86","7","12","3","",".238",".301",".414",".715",".309","93","","0.8","","595.9","","1.98","0.09","1.14","15082"
"Austin Allen","OAK","54","181","170","41","9","1","6","19","21","9","47","1","0","0","",".239",".281",".403",".685",".294","88","","0.8","","599.2","","4.81","-0.02","1.31","18083"
"Kyle Higashioka","NYY","64","230","212","46","9","0","11","25","31","15","62","1","0","0","",".216",".271",".418",".689",".294","84","","0.7","","559.8","","1.00","-0.28","0.93","5517"
"J.D. Davis","NYM","85","321","281","71","14","1","11","38","38","33","89","5","1","0","",".251",".337",".419",".756",".329","107","","0.7","","452.5","","3.95","1.58","0.81","16219"
"Rougned Odor","BAL","96","380","343","73","15","1","19","45","50","28","106","7","2","2","",".213",".284",".428",".712",".303","89","","0.7","","436.3","","2.81","-0.20","0.65","12282"
"Riley Adams","WSN","77","274","240","54","11","1","7","30","29","26","91","7","1","1","",".227",".321",".373",".693",".307","89","","0.7","","593.2","","2.48","0.29","0.86","19864"
"Christian Walker","ARI","119","485","435","109","24","2","17","61","61","42","116","5","1","1","",".250",".321",".428",".749",".323","99","","0.7","","452.3","","3.23","-1.17","0.16","13419"
"Eric Haase","DET","89","339","306","67","12","1","16","40","45","24","111","3","1","1","",".220",".278",".427",".705",".299","88","","0.7","","312.1","","4.57","-0.09","0.58","14111"
"Kyle Isbel","KCR","97","369","337","84","17","3","9","44","38","27","86","4","9","3","",".251",".313",".398",".711",".309","93","","0.7","","506.3","","2.81","-0.54","1.05","21614"
"Christian Arroyo","BOS","59","226","206","51","11","1","8","26","26","13","53","5","2","1","",".248",".307",".421",".727",".313","93","","0.7","","597.0","","3.23","0.87","1.18","16434"
"Nolan Gorman","STL","60","249","231","57","11","1","9","30","30","15","60","2","2","0","",".249",".297",".418",".716",".306","92","","0.7","","465.5","","6.57","0.13","1.08","sa3007017"
"Matt Thaiss","LAA","54","200","179","41","8","1","6","23","23","20","48","2","1","0","",".228",".310",".388",".698",".305","92","","0.7","","580.3","","4.41","0.29","1.14","19318"
"Victor Reyes","DET","80","301","282","75","14","3","6","36","29","15","66","2","8","2","",".266",".305",".400",".705",".304","91","","0.7","","587.3","","5.61","1.14","1.34","15487"
"Bradley Zimmer","CLE","95","357","311","70","13","1","9","43","35","31","123","11","14","3","",".224",".313",".365",".679",".298","87","","0.7","","464.8","","3.45","-0.32","1.31","16221"
"Seiya Suzuki","","36","140","124","32","6","0","6","17","18","16","27","0","2","1","",".259",".345",".465",".810",".349","120","","0.7","","999.0","","2.19","0.51","1.54","sa3018052"
"Mike Moustakas","CIN","118","456","406","98","21","1","22","55","64","40","92","5","1","1","",".241",".314",".456",".770",".326","98","","0.7","","365.4","","2.05","-0.53","0.46","4892"
"Dylan Moore","SEA","86","314","278","58","12","1","10","38","32","28","88","6","16","5","",".209",".296",".371",".667",".293","89","","0.7","","453.7","","2.86","-1.16","1.54","18042"
"Ji-Man Choi","TBR","106","420","356","83","18","1","14","49","52","56","111","4","1","1","",".233",".341",".407",".748",".327","105","","0.7","","556.5","","3.17","2.26","0.23","5452"
"Luis García","WSN","109","426","402","107","21","2","12","52","48","21","74","2","3","2","",".265",".304",".416",".720",".309","90","","0.7","","501.5","","3.42","2.13","0.68","20391"
"Steven Duggar","SFG","90","324","294","69","16","3","7","38","32","27","96","2","7","2","",".236",".304",".378",".683",".297","86","","0.7","","599.7","","3.29","1.12","1.01","17719"
"Oscar Mercado","CLE","86","331","298","72","16","2","8","38","32","25","65","4","10","3","",".241",".307",".387",".694",".302","90","","0.7","","587.3","","4.87","0.22","1.18","16375"
"Charlie Blackmon","COL","129","548","487","136","26","4","16","73","71","47","92","8","3","1","",".278",".347",".447",".794",".341","100","","0.6","","237.6","","1.49","1.13","0.68","7859"
"Jo Adell","LAA","129","513","473","115","23","3","20","61","67","32","150","5","8","3","",".242",".297",".429",".725",".311","96","","0.6","","232.9","","2.47","1.04","0.44","20220"
"Andy Ibáñez","TEX","81","317","290","76","15","1","11","36","34","22","49","3","2","1","",".263",".319",".438",".757",".325","107","","0.6","","585.5","","2.68","-1.54","1.04","18819"
"Hunter Dozier","KCR","123","496","443","105","23","5","17","57","56","45","135","5","5","2","",".237",".311",".425",".737",".317","99","","0.6","","385.2","","3.81","-0.09","0.33","15117"
"Nick Gordon","MIN","77","284","262","66","14","2","6","32","29","17","65","3","11","3","",".251",".302",".382",".684",".297","86","","0.6","","551.6","","4.73","-0.14","1.47","16337"
"Brett Gardner","","89","335","288","66","12","3","8","39","32","40","73","3","4","1","",".228",".324",".378",".703",".308","93","","0.6","","598.6","","2.01","-0.53","0.77","9927"
"Andrew Knizner","STL","58","209","186","44","8","0","4","21","20","16","41","3","1","0","",".236",".304",".351",".655",".287","79","","0.6","","592.4","","1.96","1.36","1.25","19514"
"Sergio Alcántara","CHC","74","268","236","54","9","1","5","29","23","28","68","2","4","1","",".229",".314",".339",".653",".290","81","","0.6","","999.0","","3.53","0.34","1.10","16417"
