playerid,Name,Team,GS,G,IP,W,L,QS,SV,HLD,H,ER,HR,SO,BB,WHIP,K/9,BB/9,ERA,FIP,WAR,RA9-WAR,ADP
20997,Eduard Bazardo,BOS,0,16,16.0,1.0,1.0,0.0,0.0,1.0,16.0,9.0,2.0,14.0,7.0,1.45,8.15,3.93,4.85,4.77,0.0,0.0,999.0
22036,Angel Rondón,STL,0,12,12.0,1.0,1.0,0.0,0.0,1.0,12.0,6.0,2.0,10.0,4.0,1.35,7.36,3.2,4.47,4.74,0.0,0.0,999.0
sa3011248,Nick Robertson,LAD,0,4,4.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,1.0,4.0,2.0,1.41,8.12,3.57,4.74,4.86,0.0,0.0,999.0
17536,Ryan Burr,CHW,0,46,46.0,2.0,2.0,0.0,0.0,6.0,44.0,23.0,6.0,43.0,21.0,1.43,8.47,4.2,4.45,4.64,0.0,0.0,999.0
20329,Andre Scrubb,HOU,0,4,4.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,1.0,4.0,2.0,1.54,8.5,5.2,4.87,5.08,0.0,0.0,999.0
sa3010299,Nic Enright,CLE,0,30,30.0,1.0,2.0,0.0,0.0,1.0,28.0,15.0,5.0,31.000000000000004,12.0,1.32,9.28,3.52,4.42,4.52,0.0,0.0,999.0
sa3005016,Marcel Rentería,NYM,0,4,4.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,1.0,4.0,2.0,1.45,8.61,4.43,4.59,4.8,0.0,0.0,999.0
12905,Logan Verrett,,0,6,6.0,0.0,0.0,0.0,0.0,1.0,7.0,3.0,1.0,4.0,1.0,1.35,6.28,2.0,4.94,4.95,0.0,-0.1,999.0
5224,Blake Parker,,0,50,50.0,2.0,3.0,0.0,0.0,0.0,50.0,26.0,8.0,46.0,20.0,1.39,8.27,3.51,4.73,4.76,0.0,-0.1,999.0
15823,Zack Littell,SFG,0,56,56.0,3.0,3.0,0.0,0.0,10.0,53.0,26.0,7.0,54.0,23.0,1.36,8.72,3.7,4.19,4.26,0.0,0.1,599.3
