"Name","Team","GS","G","IP","W","L","SV","HLD","H","ER","HR","SO","BB","WHIP","K/9","BB/9","ERA","FIP","-1","WAR","RA9-WAR","-1","ADP","playerid"
"Jonathan Loáisiga","NYY","0","66","66.0","5","3","2","13","57","25","7","73","21","1.19","9.98","2.88","3.35","3.37","","1.4","1.3","","403.9","19753"
"Huascar Ynoa","ATL","23","23","107.0","6","6","0","0","101","50","15","112","39","1.30","9.45","3.26","4.20","4.12","","1.4","1.5","","238.9","20468"
"Danny Duffy","","18","18","97.0","6","6","0","0","90","46","16","102","35","1.28","9.49","3.22","4.28","4.40","","1.4","1.3","","580.0","3542"
"Drew Rasmussen","TBR","24","41","114.0","6","5","0","1","101","50","14","123","46","1.28","9.67","3.61","3.90","3.92","","1.4","1.6","","280.6","25385"
"Josiah Gray","WSN","24","24","131.0","6","7","0","0","125","70","25","139","51","1.34","9.57","3.51","4.82","4.84","","1.3","1.1","","285.2","24580"
"Tyler Anderson","","29","29","164.0","8","10","0","0","169","87","31","136","46","1.31","7.49","2.51","4.78","4.83","","1.3","1.3","","549.7","12880"
"Blake Treinen","LAD","0","70","70.0","6","3","27","6","59","27","7","78","26","1.22","10.02","3.37","3.43","3.44","","1.3","1.2","","175.4","12572"
"Andrew Heaney","LAD","24","24","116.0","8","7","0","0","110","56","22","126","33","1.24","9.79","2.56","4.38","4.42","","1.3","1.2","","305.2","15423"
"Dallas Keuchel","CHW","29","29","162.0","10","10","0","0","177","82","23","110","56","1.44","6.08","3.11","4.57","4.81","","1.3","1.6","","558.4","9434"
"Taijuan Walker","NYM","29","29","160.0","9","10","0","0","155","80","26","149","57","1.32","8.39","3.20","4.53","4.62","","1.3","1.0","","375.8","11836"
"Austin Gomber","COL","29","29","137.0","9","10","0","0","146","78","24","131","53","1.45","8.58","3.45","5.11","4.81","","1.3","1.4","","516.0","16561"
"James Karinchak","CLE","0","66","66.0","6","4","2","13","47","24","8","98","33","1.21","13.32","4.54","3.31","3.32","","1.3","1.4","","418.8","20151"
"Giovanny Gallegos","STL","0","70","70.0","5","3","23","7","56","27","9","84","21","1.10","10.76","2.71","3.42","3.48","","1.2","1.1","","115.1","14986"
"Andrew Kittredge","TBR","0","65","65.0","5","3","20","7","57","23","7","71","16","1.12","9.88","2.23","3.19","3.19","","1.2","1.4","","276.5","12828"
"Hunter Greene","CIN","19","19","103.0","8","8","0","0","100","53","17","106","40","1.36","9.34","3.54","4.65","4.58","","1.2","1.1","","438.2","sa3005315"
"Tylor Megill","NYM","21","21","110.0","6","7","0","0","103","52","17","116","38","1.29","9.55","3.15","4.25","4.29","","1.2","1.1","","314.6","21318"
"Triston McKenzie","CLE","23","23","115.0","7","7","0","0","101","58","20","131","50","1.31","10.23","3.88","4.56","4.60","","1.2","1.3","","234.3","18000"
"Mike Soroka","ATL","18","18","100.0","7","6","0","0","105","48","13","79","29","1.34","7.12","2.62","4.34","4.28","","1.2","1.2","","516.5","18383"
"Matthew Boyd","","15","15","81.0","5","5","0","0","77","39","13","84","23","1.25","9.40","2.61","4.33","4.28","","1.2","1.0","","595.5","15440"
"Zach Plesac","CLE","29","29","164.0","9","11","0","0","171","85","28","130","44","1.31","7.13","2.42","4.65","4.73","","1.2","1.6","","330.8","19979"
"Johnny Cueto","","26","26","142.0","8","9","0","0","151","75","23","113","43","1.37","7.14","2.74","4.77","4.76","","1.2","1.2","","586.7","6893"
"Scott Barlow","KCR","0","66","66.0","4","3","27","3","56","27","8","81","28","1.26","11.05","3.75","3.68","3.56","","1.2","1.3","","171.6","14993"
"Matt Barnes","BOS","0","66","66.0","6","4","11","10","52","27","8","90","31","1.26","12.27","4.26","3.69","3.54","","1.2","1.2","","274.0","12863"
"Lucas Sims","CIN","0","65","65.0","4","3","26","4","50","27","10","93","30","1.23","12.89","4.19","3.77","3.84","","1.2","1.1","","245.7","13470"
"Aaron Bummer","CHW","0","64","64.0","4","2","0","16","51","22","5","76","28","1.24","10.62","3.94","3.05","3.22","","1.2","1.3","","582.4","16258"
"Luke Weaver","ARI","26","26","133.0","8","9","0","0","135","70","23","128","43","1.34","8.67","2.89","4.74","4.54","","1.2","1.1","","468.7","16918"
"Jordan Romano","TOR","0","66","66.0","5","3","27","3","51","25","8","86","25","1.16","11.77","3.48","3.37","3.49","","1.1","1.7","","96.5","16122"
"Aaron Civale","CLE","28","28","154.0","9","11","0","0","161","81","27","127","41","1.31","7.43","2.41","4.73","4.72","","1.1","1.3","","266.1","19479"
"Tyler Matzek","ATL","0","68","68.0","4","2","2","14","52","26","6","88","35","1.29","11.62","4.65","3.40","3.43","","1.1","1.4","","558.0","10058"
"Matt Manning","DET","26","26","131.0","7","9","0","0","139","69","19","100","46","1.42","6.90","3.17","4.73","4.71","","1.1","1.3","","512.7","20369"
"Ryan Yarbrough","TBR","24","24","119.0","7","7","0","0","124","59","18","86","28","1.28","6.51","2.13","4.47","4.58","","1.1","1.1","","511.7","16502"
"Adrian Houser","MIL","28","28","130.0","8","8","0","0","133","66","16","99","54","1.44","6.86","3.73","4.59","4.66","","1.1","1.3","","428.8","12718"
"Tanner Houck","BOS","18","49","102.0","6","6","0","1","95","49","13","110","39","1.31","9.72","3.42","4.33","4.04","","1.1","1.1","","202.7","19879"
"José Suarez","LAA","24","24","114.0","8","8","0","0","113","58","17","103","44","1.38","8.11","3.50","4.55","4.68","","1.1","1.2","","484.7","19911"
"Madison Bumgarner","ARI","31","31","177.0","9","11","0","0","187","99","34","145","49","1.34","7.38","2.52","5.04","5.05","","1.0","1.0","","465.5","5524"
"Adbert Alzolay","CHC","23","27","95.0","6","6","0","1","91","48","15","97","34","1.31","9.21","3.19","4.53","4.44","","1.0","1.0","","356.6","17859"
"Kwang Hyun Kim","","24","24","113.0","7","8","0","0","117","58","17","87","39","1.38","6.93","3.11","4.58","4.70","","1.0","1.1","","556.9","27458"
"Randy Dobnak","MIN","23","35","103.0","7","7","0","1","116","52","12","66","31","1.43","5.79","2.69","4.58","4.49","","1.0","0.9","","595.9","23798"
"Reid Detmers","LAA","16","16","79.0","5","5","0","0","74","38","13","86","31","1.33","9.84","3.51","4.36","4.40","","1.0","1.0","","424.4","27468"
"Elieser Hernandez","MIA","26","26","122.0","6","7","0","0","117","62","22","122","37","1.27","9.01","2.72","4.58","4.62","","1.0","0.8","","331.9","16933"
"Spencer Howard","TEX","23","23","101.0","6","6","0","0","99","53","15","99","41","1.39","8.84","3.69","4.69","4.58","","1.0","0.9","","548.5","23252"
"Brusdar Graterol","LAD","0","66","66.0","5","3","7","13","61","26","6","64","22","1.25","8.68","2.97","3.53","3.72","","1.0","0.9","","562.4","20367"
"Nestor Cortes","NYY","19","51","110.0","5","5","0","1","105","55","21","116","36","1.28","9.54","2.91","4.49","4.60","","1.0","1.0","","360.8","17874"
"Glenn Otto","TEX","18","18","92.0","6","7","0","0","91","47","13","91","39","1.40","8.86","3.81","4.55","4.43","","1.0","0.9","","570.6","21366"
"Chad Green","NYY","0","63","63.0","6","4","1","16","52","25","10","79","18","1.11","11.31","2.59","3.64","3.70","","1.0","0.9","","394.7","15552"
"Garrett Richards","","24","24","114.0","6","7","0","0","119","61","17","96","46","1.45","7.61","3.60","4.84","4.78","","0.9","0.8","","600.5","9784"
"Kris Bubic","KCR","23","23","108.0","6","7","0","0","106","55","15","95","47","1.42","7.92","3.93","4.63","4.69","","0.9","1.3","","495.8","21455"
"J.A. Happ","","26","26","138.0","8","9","0","0","144","74","23","109","44","1.37","7.12","2.90","4.85","4.86","","0.9","1.0","","593.6","7410"
"Garrett Whitlock","BOS","0","68","68.0","5","3","20","7","64","29","7","69","22","1.26","9.20","2.91","3.82","3.65","","0.9","1.2","","237.3","20191"
"Bruce Zimmermann","BAL","23","23","118.0","6","8","0","0","126","66","22","99","46","1.45","7.56","3.47","5.04","5.16","","0.9","0.8","","597.6","20370"
"Aaron Ashby","MIL","6","61","81.0","6","4","1","10","68","32","8","96","37","1.30","10.68","4.15","3.55","3.66","","0.9","1.0","","270.8","23550"
"Paul Sewald","SEA","0","67","67.0","5","4","6","13","54","28","10","87","24","1.16","11.71","3.16","3.78","3.68","","0.9","0.9","","303.5","13892"
"Keegan Akin","BAL","21","21","98.0","5","7","0","0","100","53","18","90","39","1.42","8.25","3.60","4.89","4.99","","0.9","0.8","","597.5","19362"
"Michael Wacha","BOS","23","41","109.0","6","5","0","1","118","60","18","97","33","1.39","8.06","2.73","4.95","4.58","","0.9","0.7","","507.6","14078"
"Chris Archer","","19","19","97.0","5","6","0","0","96","50","16","98","38","1.38","9.07","3.52","4.64","4.55","","0.9","0.8","","600.8","6345"
"Cole Irvin","OAK","29","29","141.0","8","10","0","0","151","73","23","100","36","1.33","6.38","2.31","4.66","4.79","","0.9","1.1","","506.8","19244"
"Carlos Hernández","KCR","24","24","116.0","6","8","0","0","115","62","17","103","52","1.44","7.97","4.05","4.81","4.77","","0.9","1.2","","443.2","22713"
"Eric Lauer","MIL","23","27","95.0","5","6","0","1","92","48","16","92","36","1.34","8.77","3.37","4.56","4.61","","0.9","1.0","","310.6","19316"
"Pete Fairbanks","TBR","0","64","64.0","6","4","9","10","52","24","7","82","26","1.22","11.48","3.70","3.40","3.45","","0.9","1.1","","498.3","17998"
"Grayson Rodriguez","BAL","13","13","63.0","4","4","0","0","60","32","10","63","24","1.33","9.01","3.44","4.56","4.53","","0.9","0.8","","466.1","sa3008130"
"Zach Thompson","PIT","23","51","119.0","7","7","0","1","121","61","18","101","43","1.38","7.69","3.29","4.60","4.61","","0.8","0.7","","498.2","16094"
"David Bednar","PIT","0","64","64.0","3","3","24","4","54","26","8","76","25","1.22","10.74","3.45","3.67","3.60","","0.8","0.9","","197.9","19569"
"Joe Ross","WSN","16","16","78.0","5","5","0","0","79","40","12","72","27","1.36","8.39","3.11","4.68","4.59","","0.8","0.8","","598.7","12972"
"Tyler Alexander","DET","21","45","108.0","6","7","0","1","114","57","18","88","32","1.35","7.31","2.64","4.70","4.70","","0.8","0.8","","568.5","17735"
"Domingo Germán","NYY","13","51","90.0","6","5","0","1","84","43","16","96","27","1.23","9.65","2.67","4.34","4.31","","0.8","0.7","","401.7","17149"
"Tanner Scott","BAL","0","60","60.0","4","3","2","13","49","24","6","76","32","1.36","11.36","4.87","3.62","3.78","","0.8","0.9","","600.2","17586"
"Michael Lorenzen","LAA","18","45","98.0","4","5","0","1","96","48","13","87","41","1.39","8.01","3.74","4.41","4.47","","0.8","0.8","","530.5","14843"
