"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","Fld","BsR","-1","WAR","-1","ADP","playerid"
"Alejandro Kirk","TOR","87","359","318","85","19","0","14","45","47","32","50","4","1","0","",".267",".339",".465",".804",".345","","-0.5","-0.4","","1.8","","235.9","22581"
"Julio Rodríguez","SEA","63","273","248","69","13","1","10","35","34","20","61","3","8","3","",".277",".337",".455",".792",".340","","3.9","0.3","","1.7","","267.6","sa3005720"
"Patrick Wisdom","CHC","134","581","520","113","20","0","35","74","88","51","213","6","7","2","",".218",".293",".457",".750",".319","","0.1","-0.3","","1.7","","331.3","13602"
"Roberto Pérez","PIT","110","435","381","78","12","1","14","41","46","43","129","4","2","1","",".205",".290",".352",".642",".283","","6.7","-1.1","","1.7","","502.7","2900"
"Jake Meyers","HOU","107","462","418","103","21","2","15","54","56","31","116","7","9","4","",".247",".307",".415",".722",".312","","1.8","-0.3","","1.7","","574.7","20308"
"Cavan Biggio","TOR","123","532","449","102","21","2","17","68","57","73","140","4","8","2","",".227",".337",".399",".736",".322","","-0.4","-0.1","","1.7","","300.5","19252"
"Jesús Sánchez","MIA","125","539","488","122","18","5","24","63","72","40","139","6","2","2","",".250",".312",".450",".762",".324","","2.8","-1.3","","1.7","","223.8","19913"
"C.J. Cron","COL","134","581","511","137","30","1","30","75","94","53","128","12","1","0","",".267",".348",".508",".856",".363","","0.1","-1.6","","1.7","","124.2","12546"
"Trey Mancini","BAL","149","644","577","152","32","2","26","82","84","54","143","8","1","0","",".264",".334",".461",".795",".339","","-0.8","-0.7","","1.7","","192.0","15149"
"José Iglesias","","115","497","467","130","29","2","8","54","53","20","68","6","5","2","",".279",".315",".403",".718",".310","","-0.5","-0.1","","1.7","","591.8","10231"
"Manuel Margot","TBR","115","497","450","114","23","3","12","59","56","40","88","2","16","8","",".254",".315",".401",".716",".309","","2.9","0.0","","1.7","","361.3","14712"
"Ramón Urías","BAL","113","490","438","110","25","1","13","54","54","40","118","8","3","2","",".251",".323",".401",".724",".316","","-3.4","-0.9","","1.6","","479.4","18795"
"Paul DeJong","STL","113","490","433","99","20","1","20","59","62","43","122","9","5","2","",".229",".309",".418",".726",".314","","2.3","-0.2","","1.6","","441.7","18015"
"Gavin Lux","LAD","117","504","448","113","20","5","15","65","63","49","110","3","6","2","",".252",".327",".417",".744",".321","","-0.5","0.3","","1.6","","241.8","19955"
"Eddie Rosario","","136","588","547","147","27","3","26","75","90","33","88","1","9","3","",".268",".310",".468",".777",".329","","-1.2","0.1","","1.6","","175.7","12155"
"Ryan Mountcastle","BAL","146","630","578","152","28","2","30","79","94","40","162","5","4","2","",".263",".313",".474",".788",".333","","-0.1","-0.7","","1.6","","113.0","18373"
"Hunter Renfroe","MIL","134","581","523","122","25","0","34","78","90","49","152","3","3","1","",".234",".300",".477",".777",".329","","1.4","-1.1","","1.6","","165.2","15464"
"Eugenio Suárez","CIN","131","567","495","114","20","1","31","71","89","59","163","8","1","1","",".230",".320",".464",".784",".335","","-1.5","-1.6","","1.6","","193.3","12552"
"Christian Vázquez","BOS","94","371","341","87","17","1","9","40","39","24","68","2","5","3","",".256",".307",".386",".694",".301","","2.3","-1.2","","1.6","","202.1","9774"
"Andrelton Simmons","","122","525","482","123","22","1","6","53","47","33","65","4","5","1","",".256",".308",".344",".652",".287","","5.8","0.3","","1.6","","588.8","10847"
"Josh Rojas","ARI","130","560","495","122","27","3","13","68","51","56","128","3","14","6","",".248",".325",".391",".716",".312","","-0.4","0.5","","1.5","","238.8","19734"
"Brandon Marsh","LAA","120","518","464","114","21","4","10","53","44","46","152","4","10","3","",".246",".318",".372",".690",".302","","1.6","0.8","","1.5","","383.7","20202"
"Jazz Chisholm Jr.","MIA","126","546","494","116","19","5","21","70","61","41","157","5","21","9","",".235",".298",".420",".718",".309","","-3.0","0.5","","1.5","","79.7","20454"
"Bryan De La Cruz","MIA","122","525","479","128","22","3","13","57","54","35","117","4","4","3","",".268",".321",".408",".728",".315","","-2.5","-1.0","","1.5","","474.6","19600"
"Nelson Cruz","","133","574","509","133","20","1","31","76","89","51","137","8","2","0","",".262",".335",".487",".822",".344","","0.0","-2.0","","1.5","","174.6","2434"
"Tommy La Stella","SFG","118","511","460","124","22","2","12","64","52","42","52","4","2","1","",".269",".335",".407",".742",".322","","-3.8","-0.9","","1.5","","528.6","12371"
"Adolis García","TEX","146","630","588","136","27","3","28","74","88","30","193","8","13","6","",".231",".275",".431",".706",".301","","4.2","-0.9","","1.5","","164.6","19287"
"Adam Duvall","ATL","146","630","573","130","23","3","38","79","114","44","185","7","4","1","",".227",".289",".474",".763",".322","","4.6","-0.8","","1.5","","223.5","10950"
"Taylor Walls","TBR","104","448","392","87","20","2","8","49","42","47","117","3","15","8","",".223",".308",".345",".653",".288","","5.9","-0.7","","1.5","","559.9","22458"
"Didi Gregorius","PHI","143","616","561","138","26","4","23","72","86","40","95","8","4","2","",".247",".303",".426",".730",".311","","-1.6","-0.3","","1.5","","460.0","6012"
"Travis d'Arnaud","ATL","139","570","514","127","25","0","20","63","74","45","136","5","1","0","",".247",".311",".413",".724",".313","","-1.8","-1.2","","1.5","","209.7","7739"
"Edmundo Sosa","STL","99","427","389","99","15","4","9","47","42","20","86","13","5","3","",".255",".311",".387",".698",".303","","1.6","-0.8","","1.5","","426.3","17022"
"Manny Piña","ATL","76","304","269","61","11","0","12","33","41","26","67","7","1","0","",".228",".308",".404",".712",".309","","2.4","-0.8","","1.5","","553.3","2829"
"Austin Nola","SDP","87","355","315","82","17","1","8","39","40","29","61","6","1","1","",".260",".331",".399",".730",".319","","-1.0","-0.4","","1.4","","363.7","15941"
"Andrew Vaughn","CHW","115","497","440","110","24","0","19","60","58","44","106","8","2","2","",".251",".328",".440",".768",".332","","-0.3","-1.0","","1.4","","238.6","26197"
"Jarred Kelenic","SEA","131","567","508","117","24","2","24","68","75","49","141","5","13","6","",".231",".302",".428",".730",".313","","-4.8","0.0","","1.4","","136.9","22558"
"Carter Kieboom","WSN","126","546","474","115","21","2","16","66","61","56","122","10","2","2","",".242",".333",".391",".724",".317","","-2.2","-0.9","","1.4","","494.6","19958"
"César Hernández","WSN","126","546","486","123","22","2","14","68","56","50","106","5","3","1","",".254",".328",".391",".718",".313","","-0.7","-0.3","","1.4","","378.4","10556"
"Miguel Sanó","MIN","149","644","562","128","28","1","38","88","99","72","223","5","2","1","",".228",".319",".484",".803",".341","","-8.4","-1.0","","1.4","","276.0","12164"
"Evan Longoria","SFG","120","518","466","114","22","1","18","61","67","42","115","5","3","1","",".245",".311",".415",".727",".312","","-0.1","-0.8","","1.4","","409.9","9368"
"Austin Hedges","CLE","99","390","355","71","13","0","14","39","45","24","112","4","2","1","",".199",".256",".359",".615",".264","","4.3","-0.4","","1.4","","578.5","12976"
"Adalberto Mondesi","KCR","136","588","548","136","28","7","19","73","70","29","165","3","50","11","",".248",".288",".429",".716",".305","","2.0","5.3","","1.4","","60.5","13769"
"Ha-Seong Kim","SDP","89","385","344","83","17","2","12","46","48","32","77","4","9","2","",".241",".310",".401",".711",".308","","0.8","0.7","","1.4","","375.7","27506"
"Chad Pinder","OAK","121","525","477","117","27","2","18","63","64","36","127","6","2","1","",".246",".306",".423",".729",".313","","-1.2","-1.0","","1.4","","569.7","15191"
"Anthony Santander","BAL","130","560","519","132","30","1","24","67","76","30","118","5","2","2","",".255",".300",".458",".758",".321","","0.8","-0.7","","1.4","","272.5","14551"
"Jesús Aguilar","MIA","120","518","457","118","21","0","22","60","79","51","103","4","0","0","",".258",".333",".448",".781",".333","","0.1","-1.3","","1.3","","302.2","11342"
"Kyle Lewis","SEA","125","539","482","115","21","1","18","60","61","51","156","2","5","2","",".239",".313",".399",".712",".310","","-0.2","-0.1","","1.3","","307.8","19508"
"Rafael Ortega","CHC","115","497","445","111","22","3","14","61","50","45","105","3","14","6","",".250",".321",".405",".726",".315","","-1.4","-0.3","","1.3","","335.5","10323"
"Garrett Cooper","MIA","115","497","438","115","20","2","17","59","61","48","130","7","2","1","",".262",".344",".431",".774",".337","","-0.8","-1.7","","1.3","","506.8","15279"
"LaMonte Wade Jr.","SFG","133","574","500","121","24","3","20","71","68","59","129","8","8","3","",".242",".329",".422",".751",".325","","-3.4","-0.6","","1.3","","304.6","18126"
"Joey Wendle","MIA","100","434","397","104","23","3","8","50","42","24","87","9","8","4","",".261",".315",".398",".713",".307","","1.1","-0.2","","1.3","","362.8","13853"
"Wilmer Flores","SFG","97","420","380","102","20","1","15","51","53","32","56","4","1","0","",".270",".331",".446",".778",".334","","-1.1","-1.0","","1.3","","407.0","5827"
"Victor Robles","WSN","117","504","442","105","25","2","10","58","46","37","119","17","16","6","",".237",".319",".375",".694",".304","","3.0","0.1","","1.3","","446.0","18363"
"Tucker Barnhart","DET","94","371","330","75","16","1","7","34","34","33","86","4","1","1","",".229",".305",".342",".647",".285","","3.1","-1.1","","1.3","","400.6","10200"
"Gary Sánchez","NYY","100","399","347","72","12","1","21","50","58","43","112","6","0","0","",".209",".305",".432",".737",".317","","-5.2","-0.8","","1.3","","253.4","11442"
"Steven Kwan","CLE","86","371","337","96","16","3","9","45","39","28","42","3","5","3","",".284",".341",".431",".772",".334","","-0.7","-0.4","","1.3","","514.5","sa3008536"
"David Peralta","ARI","120","518","470","127","25","5","13","56","63","40","97","4","2","1","",".270",".330",".426",".756",".325","","1.4","-0.3","","1.3","","469.8","2136"
"Yadier Molina","STL","112","444","413","103","18","0","10","42","52","21","74","6","3","0","",".249",".293",".368",".661",".287","","3.3","-1.6","","1.3","","298.0","7007"
"Santiago Espinal","TOR","123","532","485","126","25","2","7","58","47","38","83","3","9","5","",".260",".316",".363",".679",".298","","3.5","-0.5","","1.3","","504.6","19997"
"Gavin Sheets","CHW","110","476","431","110","20","0","22","59","71","36","107","3","2","1","",".256",".316",".457",".773",".331","","-0.1","-0.9","","1.3","","488.7","19901"
"Francisco Mejía","TBR","66","262","239","60","13","2","7","29","30","15","51","5","1","0","",".250",".306",".415",".721",".310","","0.4","-0.2","","1.3","","414.3","16403"
"Ji-Man Choi","TBR","109","469","396","92","20","1","16","54","57","64","127","4","1","1","",".231",".341",".407",".749",".327","","-1.3","-0.8","","1.2","","556.5","5452"
"Wil Myers","SDP","146","630","560","134","29","2","23","72","78","63","183","3","11","5","",".239",".317",".423",".740",".319","","-3.0","-0.2","","1.2","","294.7","10047"
"Nick Ahmed","ARI","117","504","457","110","27","3","10","55","52","38","104","3","7","2","",".241",".300",".381",".681",".294","","2.4","0.3","","1.2","","568.0","12147"
"Cal Raleigh","SEA","68","269","248","56","14","0","10","29","33","16","66","2","2","1","",".228",".279",".408",".687",".294","","-1.2","-0.1","","1.2","","534.5","21534"
"Martín Maldonado","HOU","115","454","400","78","15","1","13","47","46","43","132","6","1","0","",".196",".282",".337",".619",".273","","3.2","-1.6","","1.2","","549.2","6887"
"Jonathan Villar","","109","469","420","104","17","2","13","56","45","41","119","3","18","6","",".247",".317",".392",".709",".309","","-3.3","1.3","","1.2","","291.7","10071"
"Bryson Stott","PHI","75","322","288","72","13","1","9","36","33","29","75","1","5","3","",".251",".322",".396",".718",".313","","1.2","-0.5","","1.2","","462.5","sa3011443"
"Isiah Kiner-Falefa","TEX","76","329","305","83","13","2","5","37","26","16","46","5","9","3","",".272",".318",".374",".692",".302","","1.8","0.6","","1.2","","352.3","16512"
"Kyle Farmer","CIN","125","539","493","125","24","2","14","57","61","26","106","13","4","2","",".254",".306",".399",".705",".305","","0.0","-0.6","","1.2","","492.7","14813"
"Brad Miller","","89","385","337","79","13","2","18","49","52","42","111","3","3","1","",".233",".322",".443",".765",".328","","-0.6","-0.7","","1.2","","552.6","12775"
"Andrew McCutchen","","133","574","489","114","23","1","23","75","72","74","131","5","7","2","",".234",".337",".424",".762",".331","","-1.4","-1.1","","1.2","","355.5","9847"
"Rowdy Tellez","MIL","112","483","433","112","22","1","23","61","68","39","108","6","1","1","",".258",".326",".476",".801",".339","","-0.3","-0.8","","1.2","","314.2","15679"
"Austin Allen","OAK","57","224","208","52","11","1","9","25","28","12","51","2","1","0","",".248",".292",".431",".723",".308","","0.0","-0.3","","1.2","","599.2","18083"
"Kyle Higashioka","NYY","62","243","223","48","10","0","11","27","34","16","65","1","1","0","",".213",".268",".413",".681",".291","","0.0","-0.3","","1.2","","559.8","5517"
"Kole Calhoun","TEX","105","455","401","92","18","1","19","57","54","44","109","5","3","1","",".229",".311",".423",".734",".316","","1.0","-0.6","","1.1","","480.4","11200"
"Michael A. Taylor","KCR","125","539","493","116","24","2","14","57","54","35","151","4","14","6","",".235",".290",".375",".664",".288","","4.9","0.3","","1.1","","454.4","11489"
"Elvis Andrus","OAK","113","490","450","113","22","2","7","53","42","29","75","4","11","4","",".251",".300",".355",".655",".285","","-1.5","1.3","","1.1","","564.3","8709"
"Riley Greene","DET","52","224","201","53","9","2","8","29","28","18","59","2","4","1","",".265",".330",".455",".785",".336","","-1.1","0.3","","1.1","","305.3","sa3010694"
"Jose Trevino","TEX","78","307","288","69","16","0","6","30","31","13","58","1","2","1","",".241",".273",".363",".636",".273","","1.4","-0.8","","1.1","","581.7","16725"
"Frank Schwindel","CHC","128","553","513","137","28","1","25","72","79","30","97","4","3","1","",".268",".311",".475",".786",".333","","-0.1","-0.9","","1.1","","234.3","15351"
"Alec Bohm","PHI","128","553","499","131","24","2","16","62","64","44","128","4","6","2","",".263",".325",".412",".736",".319","","-0.3","-0.6","","1.1","","286.5","21618"
"Jake Fraley","SEA","94","406","350","80","16","2","14","46","49","46","112","5","13","5","",".229",".324",".403",".727",".316","","-1.7","0.0","","1.1","","594.0","19260"
"Lane Thomas","WSN","113","490","431","103","22","3","16","65","57","49","128","4","11","5","",".239",".321",".417",".738",".319","","0.8","-0.5","","1.1","","250.8","16939"
"Willie Calhoun","TEX","123","532","483","126","23","3","20","64","63","40","77","5","2","1","",".262",".322",".445",".767",".329","","-1.7","-1.4","","1.1","","429.5","17838"
"Kevin Plawecki","BOS","63","250","224","59","13","1","5","26","27","19","43","4","1","0","",".261",".330",".399",".729",".319","","-1.5","-0.6","","1.0","","574.7","13807"
"Luis García","WSN","97","420","393","106","21","2","13","49","51","22","70","2","3","3","",".270",".309",".438",".748",".319","","-2.7","-0.8","","1.0","","501.5","20391"
"Joey Bart","SFG","96","378","348","82","16","1","10","42","39","20","111","6","2","1","",".236",".288",".375",".663",".288","","-0.7","-0.4","","1.0","","268.3","21524"
"Austin Barnes","LAD","58","230","201","44","9","0","6","27","24","22","56","4","2","1","",".219",".307",".356",".662",".291","","0.5","-0.1","","1.0","","593.6","12158"
"Donovan Solano","","97","420","384","107","21","1","7","44","41","24","76","6","2","0","",".278",".326",".391",".718",".311","","-2.1","-0.6","","1.0","","597.2","8623"
"Nick Solak","TEX","100","434","390","101","17","1","11","51","48","32","90","8","6","3","",".259",".326",".399",".724",".316","","-2.9","-0.1","","1.0","","422.7","19294"
"James McCann","NYM","102","403","367","85","15","1","11","39","45","28","113","4","3","2","",".233",".292",".369",".661",".288","","-0.1","-0.9","","1.0","","339.3","12859"
"J.D. Davis","NYM","73","315","276","70","14","1","10","36","36","31","83","5","2","0","",".254",".338",".423",".761",".330","","-2.1","-0.4","","1.0","","452.5","16219"
"Leury García","CHW","112","483","440","114","20","3","8","55","46","30","103","4","7","3","",".259",".311",".370",".681",".298","","-1.7","0.5","","1.0","","492.1","5913"
"Elias Díaz","COL","91","358","325","86","17","1","12","42","43","27","60","2","1","0","",".263",".323",".432",".755",".324","","-1.5","-0.6","","1.0","","247.0","11680"
"Aledmys Díaz","HOU","75","322","292","74","17","0","9","35","41","20","58","6","1","1","",".251",".310",".405",".716",".308","","-0.7","-0.6","","1.0","","565.5","15937"
"Kyle Isbel","KCR","100","434","393","99","20","4","11","53","45","31","97","5","13","4","",".253",".314",".405",".719",".311","","0.7","0.7","","1.0","","506.3","21614"
"Austin Slater","SFG","75","322","282","70","14","2","9","39","34","32","86","5","11","3","",".247",".334",".409",".743",".323","","0.6","1.0","","1.0","","559.7","16153"
"Tom Murphy","SEA","65","256","227","49","9","1","10","27","30","24","80","2","1","1","",".214",".293",".386",".679",".296","","-0.4","-0.3","","1.0","","489.5","13499"
"Odúbel Herrera","","73","315","288","76","16","1","9","38","36","20","53","4","4","1","",".265",".317",".425",".742",".320","","-1.5","0.1","","1.0","","583.5","11476"
"Tyler Naquin","CIN","122","525","481","125","26","2","19","60","71","33","126","5","5","3","",".259",".312",".440",".752",".321","","-1.0","-0.6","","0.9","","374.8","13359"
"Josh Harrison","","113","490","446","116","24","2","8","52","48","27","71","12","8","4","",".261",".318",".377",".695",".304","","-0.8","-0.7","","0.9","","417.2","8202"
"Bobby Dalbec","BOS","115","497","444","103","20","3","26","60","72","40","166","8","3","1","",".231",".304",".465",".769",".326","","0.2","-0.6","","0.9","","221.3","19966"
"Jason Heyward","CHC","97","420","372","91","16","3","12","48","46","41","82","4","5","2","",".244",".323",".397",".720",".313","","3.1","0.5","","0.9","","598.7","4940"
"Yan Gomes","CHC","71","284","260","64","12","1","10","32","36","17","63","4","1","0","",".247",".302",".414",".716",".305","","0.7","-0.4","","0.9","","373.6","9627"
"Tyrone Taylor","MIL","110","476","430","104","20","3","18","57","63","31","110","8","8","2","",".241",".303",".428",".731",".313","","2.0","0.3","","0.9","","472.2","13675"
"Orlando Arcia","ATL","107","462","420","107","19","1","15","49","53","34","80","2","6","3","",".254",".310",".408",".718",".309","","5.8","-0.1","","0.9","","596.9","13185"
"Chas McCormick","HOU","70","301","267","64","10","1","10","35","36","27","81","3","5","2","",".238",".311",".391",".703",".306","","2.5","-0.2","","0.9","","457.7","19599"
"Alex Kirilloff","MIN","110","476","439","118","22","2","17","54","62","29","105","4","4","3","",".269",".319",".447",".766",".326","","0.2","-0.9","","0.9","","178.5","20325"
"Thairo Estrada","SFG","66","287","264","69","13","1","9","36","34","16","54","4","4","2","",".262",".313",".417",".730",".315","","-1.7","0.0","","0.9","","599.2","16426"
"Mike Moustakas","CIN","113","490","438","107","24","1","22","57","71","42","96","6","2","0","",".244",".315",".455",".771",".328","","-2.8","-1.0","","0.9","","365.4","4892"
"Jordan Luplow","ARI","87","378","326","76","18","1","15","48","47","45","96","4","4","3","",".234",".333",".433",".765",".332","","0.6","-0.7","","0.9","","597.5","16424"
"Connor Joe","COL","87","378","326","85","18","1","13","47","47","43","79","5","1","1","",".261",".353",".441",".794",".345","","1.0","-0.5","","0.9","","329.5","16572"
"Steven Duggar","SFG","84","364","327","78","17","4","7","42","37","31","107","3","8","3","",".239",".309",".380",".689",".298","","0.6","0.3","","0.8","","599.7","17719"
"Nick Pratto","KCR","53","231","203","50","10","2","11","29","30","22","65","3","4","1","",".247",".325",".473",".798",".339","","1.0","-0.1","","0.8","","521.8","sa3004138"
"Victor Reyes","DET","63","273","256","70","13","3","6","33","27","13","58","2","7","2","",".274",".310",".414",".724",".311","","0.5","0.3","","0.8","","587.3","15487"
"Matt Thaiss","LAA","55","221","194","45","9","1","7","27","26","22","51","2","1","0","",".233",".315",".397",".712",".309","","-0.5","-0.3","","0.8","","580.3","19318"
"Jo Adell","LAA","126","546","504","122","23","4","23","62","79","32","153","5","9","3","",".242",".293",".441",".734",".313","","-2.9","-0.2","","0.8","","232.9","20220"
"Dylan Moore","SEA","86","371","326","68","15","2","11","41","40","34","104","8","18","7","",".210",".296",".369",".665",".292","","-0.1","0.6","","0.8","","453.7","18042"
"Ryan Jeffers","MIN","47","186","166","36","6","0","7","20","22","15","58","3","0","0","",".216",".290",".392",".682",".296","","0.2","-0.4","","0.8","","469.6","24618"
"Adam Engel","CHW","87","378","345","82","17","2","12","43","40","21","96","8","11","4","",".238",".294",".399",".693",".300","","2.2","0.7","","0.8","","595.9","15082"
"Matt Duffy","","62","266","237","64","11","1","4","29","24","22","50","4","4","2","",".272",".342",".371",".713",".315","","-1.3","-0.3","","0.7","","589.6","13836"
"Christian Walker","ARI","115","497","445","110","25","2","17","61","61","43","123","5","2","1","",".248",".320",".427",".747",".322","","1.5","0.0","","0.7","","452.3","13419"
"Juan Yepez","STL","73","315","281","71","16","0","14","40","44","25","66","4","2","1","",".251",".319",".463",".782",".333","","0.1","-0.5","","0.7","","486.8","sa877505"
"Corey Dickerson","","99","427","395","105","22","3","11","49","46","25","81","3","5","3","",".266",".313",".425",".738",".315","","-0.3","-0.9","","0.7","","595.8","10762"
"Rougned Odor","BAL","87","378","338","72","16","1","18","46","51","30","106","6","3","3","",".212",".286",".422",".709",".303","","-1.2","-0.5","","0.7","","436.3","12282"
"Ben Gamel","PIT","121","525","454","112","26","3","10","58","45","61","135","4","6","5","",".246",".339",".383",".722",".316","","-1.6","-1.1","","0.7","","573.4","12160"
"Randal Grichuk","TOR","118","511","474","117","25","2","24","63","75","29","114","4","2","1","",".246",".292",".458",".750",".318","","-3.0","-0.8","","0.7","","385.4","10243"
"Jason Castro","HOU","40","160","136","29","6","0","6","19","17","20","50","2","0","0","",".213",".319",".388",".707",".310","","-0.8","-0.4","","0.7","","594.2","8722"
"Victor Caratini","SDP","60","237","209","51","9","0","6","25","26","23","53","3","1","0","",".243",".325",".372",".696",".302","","-0.8","-0.2","","0.7","","560.1","14968"
"Darin Ruf","SFG","87","378","330","80","16","1","15","44","47","40","103","4","2","1","",".243",".331",".434",".764",".329","","-0.2","-0.7","","0.7","","437.3","9929"
"Christian Arroyo","BOS","53","231","211","52","12","1","7","27","28","13","54","5","2","0","",".249",".306",".419",".724",".313","","0.6","0.1","","0.7","","597.0","16434"
"Charlie Blackmon","COL","138","595","533","148","28","4","18","80","76","48","101","8","3","2","",".277",".344",".448",".793",".341","","-2.0","-0.8","","0.7","","237.6","7859"
"Kevin Smith","TOR","81","350","319","73","15","2","15","41","45","23","96","3","8","3","",".230",".286",".425",".711",".303","","-1.2","0.2","","0.7","","594.2","20242"
"Jarren Duran","BOS","115","497","455","115","21","5","13","58","49","31","126","6","19","6","",".253",".308",".403",".711",".307","","-0.4","0.8","","0.7","","414.5","24617"
"Bobby Bradley","CLE","120","518","463","99","19","1","28","61","73","43","182","7","1","0","",".213",".287",".441",".729",".310","","2.4","-0.9","","0.7","","437.9","17278"
"Kevin Newman","PIT","94","406","375","100","18","3","5","42","36","22","39","3","6","3","",".265",".310",".370",".680",".295","","-0.6","-0.1","","0.7","","593.5","17696"
"Brett Gardner","","94","406","349","79","15","4","10","45","39","47","91","3","4","1","",".226",".321",".370",".691",".305","","-0.5","0.4","","0.7","","598.6","9927"
"Pavin Smith","ARI","112","483","435","115","22","4","11","56","48","40","89","3","2","1","",".264",".327",".409",".736",".319","","-0.3","-0.9","","0.7","","390.5","19892"
"Starlin Castro","","65","280","259","70","14","1","6","28","32","17","49","1","1","1","",".272",".317",".406",".723",".311","","-1.4","-0.5","","0.7","","598.3","4579"
"Triston Casas","BOS","63","273","241","61","12","2","10","36","33","26","59","3","3","1","",".255",".331",".443",".774",".333","","0.2","-0.1","","0.7","","484.9","sa3007634"
"Luis Rengifo","LAA","50","217","195","48","8","1","6","25","22","17","41","2","5","3","",".246",".311",".389",".700",".304","","0.4","-0.2","","0.6","","600.3","19858"
"Josh VanMeter","ARI","83","357","311","72","18","2","11","42","41","40","89","3","6","3","",".232",".322",".405",".727",".316","","-1.0","-0.5","","0.6","","595.8","15170"
"Jurickson Profar","SDP","115","497","434","105","22","2","12","59","52","50","76","7","11","4","",".241",".328",".383",".711",".312","","-1.2","0.5","","0.6","","493.9","10815"
"Johan Camargo","PHI","41","175","158","41","8","1","6","22","21","14","35","1","0","0","",".259",".321",".440",".761",".326","","-0.3","-0.2","","0.6","","600.5","14950"
"Oscar Mercado","CLE","65","280","252","61","13","1","7","33","28","21","54","3","9","3","",".244",".309",".389",".698",".304","","1.7","0.7","","0.6","","587.3","16375"
"Tomás Nido","NYM","52","205","192","42","8","1","5","20","21","9","54","2","1","0","",".221",".260",".349",".609",".262","","1.0","-0.3","","0.6","","600.8","13755"
"Carlos Santana","KCR","99","427","363","85","15","0","14","50","48","58","69","2","1","0","",".235",".342",".393",".735",".322","","-0.3","-0.5","","0.6","","452.8","2396"
"Bradley Zimmer","CLE","79","343","298","66","11","1","8","41","33","29","119","12","12","4","",".221",".314",".349",".663",".295","","2.2","0.8","","0.6","","464.8","16221"
"Oswald Peraza","NYY","49","210","194","49","8","1","5","23","21","12","45","2","10","3","",".250",".298",".382",".680",".295","","-0.1","0.4","","0.6","","599.9","sa3003305"
"Alek Thomas","ARI","39","168","152","40","8","3","4","20","18","12","35","2","4","2","",".266",".326",".429",".755",".326","","0.1","-0.3","","0.6","","544.4","sa3006892"
"Yoshi Tsutsugo","PIT","123","532","458","105","22","1","20","64","62","63","129","3","1","1","",".230",".324",".413",".737",".320","","-0.1","-0.9","","0.6","","368.8","27459"
"Seth Beer","ARI","89","385","340","88","18","0","14","47","46","27","80","14","1","1","",".259",".337",".436",".772",".334","","-0.5","-0.7","","0.6","","548.0","20493"
"Nolan Jones","CLE","55","238","207","48","10","1","7","28","25","26","74","2","4","1","",".233",".325",".393",".718",".314","","0.7","0.0","","0.6","","589.5","sa917941"
"Hunter Dozier","KCR","117","504","451","106","23","5","17","56","57","44","136","4","5","3","",".236",".308",".424",".732",".315","","-2.7","-0.8","","0.6","","385.2","15117"
"TJ Friedl","CIN","73","315","278","71","11","3","8","37","31","26","55","6","8","3","",".254",".330",".402",".731",".318","","-1.6","0.0","","0.6","","600.7","19522"
"Curt Casali","SFG","62","243","213","46","9","0","6","23","25","24","67","3","1","0","",".217",".305",".351",".656",".287","","-0.7","-0.4","","0.6","","592.5","12510"
"Josh Naylor","CLE","58","252","230","61","13","1","9","29","30","19","44","2","1","1","",".265",".324",".439",".763",".327","","-1.4","-0.2","","0.6","","570.1","18839"
"MJ Melendez","KCR","29","119","106","27","5","1","6","15","16","11","28","1","1","1","",".250",".319",".468",".786",".335","","0.1","-0.2","","0.6","","389.2","sa3004139"
"Lewin Díaz","MIA","79","343","317","76","14","1","16","39","44","19","75","3","1","0","",".241",".289",".444",".733",".310","","2.1","-0.2","","0.6","","576.6","18365"
"Eric Hosmer","SDP","130","560","507","133","24","1","16","61","71","43","112","4","5","3","",".262",".323",".408",".731",".316","","-1.0","-1.7","","0.6","","387.5","3516"
"Andy Ibáñez","TEX","78","336","308","82","16","1","10","40","37","22","52","3","2","2","",".268",".320",".424",".744",".320","","0.6","-0.8","","0.6","","585.5","18819"
"Sam Hilliard","COL","102","441","397","91","17","3","20","55","57","37","143","2","10","3","",".229",".297",".441",".739",".313","","0.5","0.6","","0.5","","420.9","17954"
"Alex Dickerson","","68","294","265","67","13","2","11","37","38","22","67","5","1","0","",".252",".320",".441",".760",".325","","-1.4","-0.3","","0.5","","599.0","12649"
"Brett Phillips","TBR","52","224","193","37","6","3","7","28","24","26","82","1","9","2","",".192",".290",".362",".651",".286","","3.1","1.0","","0.5","","597.5","14735"
"Travis Swaggerty","PIT","49","210","188","46","7","1","5","23","19","18","50","1","6","2","",".244",".311",".375",".686",".300","","1.0","0.1","","0.5","","594.9","sa3007512"
"Leody Taveras","TEX","45","196","176","40","7","1","5","23","19","16","51","1","7","2","",".225",".291",".375",".666",".289","","1.7","0.4","","0.5","","535.1","18900"
"Hoy Park","PIT","42","182","156","37","7","1","4","22","17","22","40","2","4","2","",".240",".337",".376",".713",".313","","-0.4","-0.1","","0.5","","600.6","18027"
"Jed Lowrie","","110","476","425","103","25","0","13","52","59","44","101","3","0","0","",".243",".316",".392",".708",".308","","-1.9","-1.3","","0.5","","594.5","4418"
"Jose Barrero","CIN","37","161","146","37","8","1","5","19","20","10","39","3","4","1","",".251",".311",".415",".725",".313","","0.3","0.2","","0.5","","427.0","23378"
