"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","Fld","BsR","-1","WAR","-1","ADP","playerid"
"Ozzie Albies","ATL","154","665","607","166","37","6","27","99","89","47","117","4","18","5","",".274",".328",".485",".814",".345","","3.5","2.5","","4.1","","18.7","16556"
"Anthony Rendon","LAA","133","574","493","134","31","1","21","77","83","67","88","8","2","0","",".272",".365",".468",".833",".356","","0.4","0.2","","4.1","","106.3","12861"
"Jose Altuve","HOU","147","637","568","158","29","2","25","99","76","57","93","5","7","3","",".278",".346",".469",".815",".349","","-3.5","0.3","","4.0","","73.3","5417"
"Will Smith","LAD","126","509","434","109","21","2","27","72","84","58","110","11","3","0","",".252",".350",".498",".849",".359","","0.9","-0.8","","4.0","","60.2","19197"
"Pete Alonso","NYM","151","651","565","146","26","2","42","91","112","67","147","14","2","1","",".259",".350",".535",".884",".371","","-0.2","-1.8","","3.9","","48.6","19251"
"Ketel Marte","ARI","149","644","580","168","38","5","21","86","77","52","97","6","5","1","",".290",".351",".482",".834",".355","","-0.5","0.0","","3.8","","80.0","13613"
"Shohei Ohtani","LAA","147","637","541","140","26","6","40","100","103","86","181","4","23","9","",".260",".363",".548",".912",".378","","0.0","0.3","","3.8","","8.6","19755"
"J.T. Realmuto","PHI","149","602","538","138","28","3","22","77","84","49","140","10","10","3","",".257",".328",".445",".774",".331","","3.2","1.7","","3.8","","50.5","11739"
"Tyler O'Neill","STL","146","630","566","146","26","2","38","94","100","48","194","12","15","5","",".258",".326",".515",".841",".355","","1.6","1.3","","3.8","","49.9","15711"
"Yoán Moncada","CHW","149","644","559","145","31","3","21","83","75","73","171","7","5","2","",".259",".349",".439",".789",".342","","0.6","0.0","","3.8","","150.9","17232"
"Jonathan India","CIN","149","644","546","142","33","2","21","96","71","71","143","19","12","4","",".260",".363",".444",".807",".351","","1.8","0.1","","3.7","","90.6","21523"
"Bryan Reynolds","PIT","154","665","581","162","33","6","23","89","87","72","135","7","5","3","",".279",".363",".475",".838",".357","","-3.9","-0.5","","3.6","","92.3","19326"
"Jorge Polanco","MIN","149","644","584","160","34","3","25","89","86","48","112","5","11","5","",".273",".331",".472",".804",".343","","-6.4","0.0","","3.6","","78.2","13152"
"Max Muncy","LAD","131","567","471","117","21","2","32","86","95","84","129","8","3","1","",".248",".369",".504",".873",".372","","1.2","-0.2","","3.5","","146.4","13301"
"Trent Grisham","SDP","139","602","520","128","26","4","20","80","68","69","135","6","15","5","",".246",".339",".428",".767",".332","","4.0","0.6","","3.5","","137.1","18564"
"Cedric Mullins","BAL","152","658","590","154","30","5","24","86","66","52","124","7","26","8","",".262",".326",".450",".777",".332","","0.8","2.0","","3.5","","32.3","17929"
"Tim Anderson","CHW","154","665","627","182","33","2","22","98","71","28","139","4","20","7","",".290",".322",".456",".778",".332","","-6.5","1.9","","3.5","","33.3","15172"
"Harrison Bader","STL","139","602","532","131","27","2","21","76","71","51","148","12","14","5","",".246",".323",".426",".749",".320","","8.8","1.0","","3.4","","234.3","18030"
"Austin Riley","ATL","154","665","597","163","31","2","33","88","102","53","173","9","1","1","",".272",".338",".497",".835",".354","","-4.6","-1.5","","3.4","","48.7","18360"
"Paul Goldschmidt","STL","156","672","589","160","30","2","29","93","90","73","146","4","7","2","",".271",".353",".474",".828",".354","","1.8","0.3","","3.4","","48.2","9218"
"Enrique Hernández","BOS","149","644","567","144","33","3","25","88","76","60","124","9","3","1","",".255",".332",".457",".790",".338","","1.1","0.5","","3.4","","218.9","10472"
"Jake Cronenworth","SDP","146","630","561","153","32","6","17","83","72","55","94","9","7","3","",".273",".344",".442",".786",".338","","2.5","-0.5","","3.3","","120.1","18036"
"Oneil Cruz","PIT","112","483","444","122","22","5","22","58","67","33","108","3","18","5","",".275",".327",".499",".826",".350","","-0.2","1.0","","3.3","","214.0","21711"
"Christian Yelich","MIL","149","644","544","143","27","3","26","93","86","90","156","6","16","4","",".263",".371",".469",".841",".360","","-1.6","1.8","","3.3","","100.7","11477"
"Brandon Nimmo","NYM","134","581","480","124","25","5","16","79","52","83","125","12","8","5","",".259",".379",".429",".808",".355","","-1.0","-0.7","","3.3","","320.3","12927"
"Bobby Witt Jr.","KCR","134","581","527","141","29","3","23","72","73","38","126","6","21","8","",".267",".322",".468",".790",".336","","2.1","0.6","","3.2","","95.6","sa3011225"
"Josh Donaldson","MIN","138","595","502","123","27","0","28","81","81","81","133","6","1","1","",".245",".354",".464",".818",".352","","-0.7","-1.6","","3.2","","195.7","5038"
"Ramón Laureano","OAK","126","546","485","122","27","2","22","71","68","42","140","13","15","5","",".252",".325",".453",".779",".334","","0.1","0.9","","3.2","","229.0","17128"
