"Season","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG"
"2017","50161","160951","180018","41638","26454","8318","788","6078","22327","21287","15667","970","38076","1747","1158","452","3743","2523","933",".259"
"2018","50385","160881","180004","40496","25902","8188","844","5562","21414","20389","15537","929","39041","1912","1221","412","3389","2467","958",".252"
"2019","50190","162094","181343","41457","25469","8455","781","6752","23219","22236","15734","753","40574","1972","1142","342","3408","2271","827",".256"
